,영업활동으로 인한 현금흐름,당기순이익,비용가산:,급여및상여,퇴직급여,감가상각비,무형자산상각비,대손상각비,충당부채전입,유형자산손상차손,무형자산손상차손,외화환산손실,유형자산처분손실,무형자산처분손실,사용권자산처분손실,파생상품거래손실,파생상품평가손실,재해손실,이자비용,기타금융자산처분손실,기타금융자산평가손실,종속기업투자처분손실,관계기업투자처분손실,관계기업투자손상차손,사용권자산손상차손,법인세비용,기타,수익차감:,재고자산평가손실환입,대손충당금환입,충당부채환입,무형자산손상차손환입,외화환산이익,유형자산처분이익,사용권자산처분이익,무형자산처분이익,투자부동산처분이익,파생상품거래이익,파생상품평가이익,이자수익,배당금수익,기타금융자산평가이익,기타금융자산처분이익,종속기업투자처분이익,관계기업투자처분이익,지분법이익,관계기업투자손상차손환입,자산수증이익,기타,운전자본의 변동:,매출채권,기타채권,재고자산,장기매출채권,장기기타채권,퇴직연금운용자산,매입채무,기타채무,충당부채,순확정급여부채,기타,영업활동으로 인한 현금수취액:,이자수익 수취,배당수익 수취,법인세환급,영업활동으로 인한 현금지급액:,이자비용 지급,법인세 납부,투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액:,금융기관예치금의 감소,파생상품의 처분,기타채권의 감소,기타금융자산의 처분,장기기타채권의 감소,종속기업투자의 처분,관계기업투자의 처분,유형자산의 처분,투자부동산의 처분,무형자산의 처분,정부보조금의 수령,연결범위변동으로 인한 현금흐름,기타의투자활동유입,투자활동으로 인한 현금유출액:,금융기관예치금의 증가,기타금융자산의 취득,파생상품의 취득,기타채권의 증가,기타유동자산의 증가,장기기타채권의 증가,종속기업투자의 취득,관계기업투자의 취득,유형자산의 취득,투자부동산의 취득,무형자산의 취득,종속기업투자의 처분,기타의투자활동유출,재무활동으로 인한 현금흐름,재무활동으로 인한 현금유입액:,단기차입금의 차입,사채의 증가,장기차입금의 차입,장기차입금의 증가,정부보조금의 수령,자기주식의 처분,연결자본거래로 인한 유입,재무활동으로 인한 현금유출액:,단기차입금의 상환,장기차입금의 상환,사채의 상환,리스부채의 상환,유동성장기차입금의 상환,보통주의 감소,배당금의 지급,자기주식의 취득,기타재무활동으로 인한 유출,인적분할로 인한 현금유출,현금및현금성자산의 증감,기초의 현금및현금성자산,현금및현금성자산의 환율변동으로 인한 효과,기말의 현금및현금성자산
20090101,441676000000,1582977000000,666605000000,710000000,24173000000,302030000000,12777000000,16840000000,17867000000,2009000000,1628000000,6882000000,4351000000,0,,1252000000,3655000000,,84961000000,1207000000.0,0.0,0.0,14233000000.0,0.0,,159677000000,3645000000,-1467380000000,1802000000.0,-5148000000,-1201000000,0.0,-27985000000,-776000000,,0.0,21000000.0,-2292000000,-804000000,-18469000000,-1870000000,0.0,60000000.0,-2602000000.0,-1304000000,1401857000000,,,3791000000,-257517000000,-377806000000,10584000000,18971000000,-216000000,-685000000.0,0.0,229848000000,-56821000000,-6429000000,-18356000000,-52351000000,168591000000,19746000000,148839000000,6000000.0,251600000000,-75337000000,-176263000000,-329064000000,676161000000,620983000000,8042000000,11559000000,2713000000,15550000000,0.0,326000000.0,12869000000,1137000000.0,2204000000,2891000000.0,,0.0,1005225000000,-629339000000,-14292000000,-4415000000,-8137000000,,-19915000000,2000000.0,-17604000000.0,-197982000000,-91526000000,-22015000000,0.0,0.0,-265991000000,928676000000,569366000000,269170000000.0,84659000000.0,,2891000000.0,-1236000000.0,1137000000.0,1194667000000,-813111000000,2586000000.0,-70000000000,,-1790000000,1790000000.0,-134489000000,,13000000.0,359000000.0,-153379000000,539069000000,-3350000000,382340000000
20100101,910160000000,1601561000000,725983000000,758000000,24514000000,279069000000,16644000000,474000000,18084000000,0,0,14956000000,4049000000,8000000,,1023000000,1068000000,,67446000000,18000000.0,0.0,102590000000.0,6658000000.0,0.0,,177751000000,1264000000,-1270999000000,8235000000.0,-992000000,-8285000000,0.0,-6779000000,-1140000000,,0.0,290000000.0,-249000000,-116000000,-14308000000,-954000000,46000000.0,3000000.0,-217000000.0,0,1228798000000,,,804000000,-233325000000,-321169000000,2062000000,-49440000000,-1823000000,-1310000000.0,-41000000.0,300072000000,78036000000,-11728000000,-37674000000,-189404000000,244651000000,13925000000,230100000000,626000000.0,157711000000,-55977000000,-101734000000,-459607000000,638267000000,613784000000,3832000000,8814000000,5429000000,1913000000,0.0,0.0,4136000000,,359000000,3582000000.0,,0.0,1097874000000,-607186000000,-4137000000,-262000000,-6315000000,,-3099000000,0.0,-508000000.0,-374179000000,-76249000000,-25897000000,0.0,0.0,-482774000000,769023000000,586301000000,0.0,138170000000.0,,3582000000.0,-991000000.0,42000000.0,1251797000000,-626220000000,37665000000.0,-260000000000,,-169475000000,169475000000.0,-182450000000,,5000000.0,11000000.0,-32221000000,382340000000,-146000000,349973000000
20110101,710814000000,1043910000000,759645000000,920000000,33509000000,307488000000,20139000000,11895000000,25952000000,34329000000,10642000000,14151000000,2632000000,0,,3770000000,736000000,,71834000000,0.0,7454000000.0,20057000000.0,0.0,3000000.0,,161922000000,21830000000,721340000000,5057000000.0,-3193000000,-6611000000,57000000.0,-6840000000,-405000000,,0.0,0.0,-3779000000,-90000000,-20818000000,-2018000000,99000000.0,0.0,0.0,-91000000,-670504000000,,,1775000000,-377694000000,-81700000000,3988000000,-78318000000,124000000,-1416000000.0,-79000000.0,-57582000000,49521000000,-14963000000,-32669000000,-163166000000,214916000000,18635000000,194408000000,1873000000.0,208623000000,-55048000000,-153575000000,-948450000000,515557000000,457266000000,7023000000,38468000000,1816000000,7597000000,-105000000.0,0.0,3062000000,,68000000,3332000000.0,,0.0,1464007000000,-431606000000,-3577000000,-3662000000,-38108000000,,-15124000000,0.0,-249734000000.0,-600379000000,-71773000000,-45077000000,257000000.0,4796000000.0,326263000000,2060637000000,1163790000000,409311000000.0,482872000000.0,,3332000000.0,-436000000.0,0.0,1734374000000,-1123526000000,1169000000.0,-192042000000,,-203630000000,203630000000.0,-189513000000,,0.0,30000000.0,88627000000,349973000000,2665000000,441265000000
20120101,596599000000,961702000000,699887000000,955000000,42769000000,326279000000,19667000000,5905000000,34946000000,0,5847000000,22347000000,1986000000,66000000,,2107000000,91000000,,77471000000,134000000.0,0.0,0.0,8000000.0,0.0,,143394000000,8559000000,657734000000,4638000000.0,-1016000000,-6181000000,0.0,-20110000000,-515000000,,0.0,317000000.0,-11284000000,-1101000000,-17684000000,-2432000000,0.0,0.0,0.0,-33000000,-591342000000,,,1081000000,-370933000000,-288008000000,-15588000000,-111647000000,-3128000000,-2278000000.0,-89000000.0,67364000000,-94581000000,-12444000000,-46820000000,127713000000,199587000000,15670000000,178747000000,5170000000.0,235910000000,-63118000000,-172792000000,-523792000000,291102000000,217372000000,20557000000,37322000000,4319000000,2352000000,6583000000.0,113000000.0,5368000000,,192000000,8015000000.0,,0.0,814894000000,-249378000000,-3870000000,-11981000000,-39961000000,,-5608000000,3069000000.0,-17028000000.0,-378382000000,-60910000000,-47776000000,0.0,0.0,-713000000,1524668000000,1042404000000,458014000000.0,14956000000.0,,8015000000.0,161000000.0,438000000.0,1525381000000,-1021416000000,139000000.0,-170598000000,,-137339000000,137339000000.0,-192228000000,,-41000000.0,117000000.0,72094000000,441265000000,-4993000000,508366000000
20130101,735995000000,830863000000,767057000000,360000000,47173000000,299699000000,24205000000,6191000000,41008000000,68413000000,11894000000,14804000000,3865000000,273000000,,7944000000,49000000,,85061000000,0.0,3551000000.0,0.0,0.0,0.0,,122785000000,5130000000,721699000000,282000000.0,-647000000,-8935000000,0.0,-13054000000,-1891000000,,10000000.0,0.0,-8215000000,-254000000,-23206000000,-2395000000,0.0,0.0,-285000000.0,0,-661285000000,,,417000000,-88683000000,-93189000000,9049000000,78565000000,-11981000000,-1516000000.0,-100000000.0,10713000000,9901000000,-17623000000,-51937000000,-20555000000,161032000000,17984000000,141370000000,1678000000.0,212575000000,-86581000000,-125994000000,-543410000000,359365000000,302243000000,9035000000,16518000000,227000000,6124000000,823000000.0,11186000000.0,8204000000,,1810000000,8044000000.0,,127000000.0,902775000000,-450538000000,-466000000,-7737000000,-12666000000,,-20114000000,4018000000.0,4678000000.0,-4657000000,-330929000000,-23586000000,0.0,0.0,-17701000000,1065357000000,646901000000,199157000000.0,205686000000.0,,8044000000.0,127000000.0,0.0,1083058000000,-716900000000,0.0,-477000000,,-113232000000,113232000000.0,-181723000000,,-429000000.0,392000000.0,174884000000,508366000000,-1108000000,682142000000
20140101,600272000000,834264000000,639850000000,1403000000,41399000000,273827000000,29003000000,4824000000,27351000000,3802000000,23497000000,8461000000,2542000000,318000000,,6441000000,101000000,,85872000000,810000000.0,70000000.0,0.0,0.0,93000000.0,,127064000000,1058000000,647277000000,9147000000.0,-5548000000,-9290000000,89000000.0,-7909000000,-3940000000,,242000000.0,0.0,-4459000000,-1497000000,-25416000000,-927000000,3099000000.0,7000000.0,-22000000.0,-743000000,-574095000000,,,493000000,-223126000000,-245908000000,-4771000000,30073000000,-5168000000,-803000000.0,-100000000.0,107860000000,30272000000,-12153000000,-46266000000,-75341000000,195107000000,24889000000,170162000000,56000000.0,198546000000,-70601000000,-127945000000,-720900000000,648330000000,597542000000,4459000000,14801000000,3074000000,4006000000,0.0,4766000000.0,5054000000,,2628000000,3939000000.0,,0.0,1369230000000,-620123000000,-3133000000,-6101000000,-10887000000,,-5430000000,0.0,-129389000000.0,-360790000000,-200535000000,-29489000000,0.0,-100000000.0,-59860000000,1354017000000,760325000000,169563000000.0,420099000000.0,,3939000000.0,46000000.0,12000000000.0,1413877000000,-689090000000,0.0,-320161000000,,-185065000000,185065000000.0,-178533000000,,-333000000.0,559000000.0,-180488000000,682142000000,-4125000000,497529000000
20150101,886292000000,943775000000,670675000000,11039000000,49669000000,281565000000,27460000000,3200000000,42602000000,151000000,545000000,10809000000,1479000000,843000000,,8768000000,1254000000,,79992000000,0.0,296000000.0,0.0,0.0,1356000000.0,,131581000000,1518000000,783762000000,3154000000.0,-2958000000,-8884000000,15000000.0,-15841000000,-2595000000,,34000000.0,2000000.0,-7361000000,-1138000000,-19260000000,-1633000000,15000000.0,34000000.0,-455000000.0,0,-719866000000,,,406000000,52562000000,81455000000,29755000000,-47297000000,-9047000000,-647000000.0,,-24727000000,-62539000000,-12419000000,-55715000000,153713000000,201598000000,19061000000,182260000000,277000000.0,198556000000,-64474000000,-134082000000,-368266000000,506740000000,473147000000,7991000000,8458000000,1072000000,1497000000,0.0,,6835000000,,6537000000,2534000000.0,,101000000.0,875006000000,-513209000000,-660000000,-7506000000,-27052000000,,-2810000000,0.0,0.0,-41512000000,-263024000000,-903000000,,329000000.0,-145194000000,1810382000000,1064357000000,527729000000.0,215414000000.0,,2534000000.0,427000000.0,261000000.0,1955576000000,-1076048000000,1589000000.0,-401302000000,,-171729000000,171729000000.0,-178549000000,,-100000000.0,260000000.0,372832000000,497529000000,32000000,870393000000
20160101,878198000000,1091258000000,716206000000,1052000000,46194000000,269606000000,27243000000,11626000000,31749000000,698000000,1403000000,16435000000,6550000000,2079000000,,14591000000,3810000000,,74856000000,0.0,0.0,26000000.0,0.0,0.0,,182172000000,12073000000,883365000000,4130000000.0,-364000000,-5867000000,,-17825000000,-2943000000,,44000000.0,0.0,-17276000000,-1376000000,-20629000000,-2703000000,0.0,0.0,-1941000000.0,-536000000,-807323000000,,,386000000,-87099000000,-342184000000,-8621000000,12588000000,-30327000000,3060000000.0,,271240000000,75898000000,-17413000000,-51531000000,-158000000,246077000000,18809000000,225997000000,1271000000.0,204879000000,-56695000000,-148184000000,-343818000000,514336000000,461026000000,16908000000,21505000000,379000000,325000000,1670000000.0,,10152000000,,2176000000,853000000.0,,0.0,858154000000,-292391000000,-1207000000,-13992000000,-18544000000,,-1200000000,,-17143000000.0,-274496000000,-212534000000,-25050000000,,0.0,-275450000000,759984000000,478294000000,199185000000.0,80000000000.0,,853000000.0,0.0,0.0,1035434000000,-460020000000,0.0,-100000000000,,-237927000000,237927000000.0,-230224000000,,-2684000000.0,185000000.0,258930000000,870393000000,-288000000,1129035000000
20170101,1058441000000,2435559000000,819221000000,1081000000,41824000000,229368000000,28052000000,10900000000,43576000000,17208000000,1785000000,19249000000,2753000000,808000000,,10791000000,1836000000,,53056000000,,,83000000.0,32000000.0,1169000000.0,,343271000000,7875000000,2230864000000,988000000.0,-933000000,-3892000000,,-9433000000,-1128000000,,22000000.0,938000000.0,-14486000000,-1763000000,-20302000000,-2077000000,,,-411025000000.0,-186509000000,-1577093000000,,,275000000,-54892000000,-690570000000,-13925000000,-47756000000,-26350000000,-622000000.0,,708918000000,-29065000000,-26818000000,-38806000000,110123000000,281460000000,18590000000,262870000000,,192043000000,-37098000000,-154945000000,-689285000000,1364579000000,735916000000,14436000000,35632000000,346000000,1374000000,505046000000.0,,32894000000,9850000000.0,2806000000,237000000.0,,,2053864000000,-994159000000,-406000000,-12899000000,-13455000000,,-3337000000,,-319167000000.0,-292094000000,-389187000000,-29160000000,505046000000.0,,-139815000000,1147510000000,549909000000,458108000000.0,139021000000.0,,237000000.0,200000000.0,,1287325000000,-539615000000,-22500000000.0,-320000000000,,-161952000000,161952000000.0,-242787000000,,,,229341000000,1129035000000,-15505000000,1342871000000
20180101,494943000000,1882897000000,392928000000,1172000000,27317000000,153390000000,22527000000,9916000000,29398000000,75000000,879000000,8169000000,448000000,716000000,,13467000000,5424000000,,43794000000,292000000.0,292000000.0,625000000.0,,23680000000.0,,47280000000,4359000000,1341243000000,,-1726000000,-6188000000,,-4767000000,-1153000000,,,,-7381000000,-1271000000,-24072000000,-2278000000,-108000000.0,-108000000.0,-20543000000.0,-718000000,-1269966000000,,,-1072000000,-455750000000,207382000000,3729000000,-6719000000,-1088000000,,,-584857000000,-39666000000,-19208000000,-40691000000,25368000000,364389000000,24369000000,340336000000,-316000000.0,348278000000,-35324000000,-312954000000,-658633000000,892605000000,782317000000,7365000000,22536000000,743000000,32000000,43453000000.0,,27760000000,2444000000.0,1019000000,594000000.0,,822000000.0,1551238000000,-692941000000,-2910000000,-13600000000,-17782000000,,-4707000000,,-424530000000.0,-263549000000,-98776000000,-32413000000,43453000000.0,-30000000.0,-126414000000,456172000000,54364000000,368585000000.0,32629000000.0,,594000000.0,,,582586000000,-29783000000,,-240000000000,,-81364000000,-81364000000.0,-231410000000,,-29000000.0,,-290104000000,1342871000000,1526000000,1054293000000
20190101,818667000000,1106755000000,598475000000,2701000000,27736000000,156104000000,19992000000,293000000,25800000000,6257000000,389000000,3536000000,347000000,147000000,,15911000000,330000000,,39003000000,,305000000.0,462000000.0,1712000000.0,,,293308000000,-1532000000,916686000000,,-588000000,-8374000000,-890000000.0,-7602000000,-482000000,,,,-8534000000,-1981000000,-28679000000,-1078000000,-225000000.0,-225000000.0,-358511000000.0,-252000000,-498945000000,,,-545000000,-21389000000,270881000000,-25164000000,-5570000000,-17000000,,,-27802000000,-21124000000,-27263000000,-30550000000,-154780000000,402553000000,24424000000,377314000000,815000000.0,351041000000,-35346000000,-315695000000,-33996000000,1269043000000,671586000000,8534000000,1880000000,1201000000,721000000,576536000000.0,521000000.0,3019000000,1466000000.0,3195000000,477000000.0,,384000000.0,1303039000000,-890053000000,-10035000000,-15163000000,-3722000000,,-2545000000,10540000000.0,,-62312000000,-282987000000,-25681000000,,-1000000.0,-508806000000,182000000000,149433000000,,32090000000.0,,477000000.0,,,690806000000,-45489000000,-112792000000.0,-110000000000,-12637000000.0,-51652000000,,-357987000000,,-249000000.0,,275865000000,1054293000000,6944000000,1337102000000
20200101,739096000000,1540658000000,709138000000,3212000000,24791000000,152091000000,21736000000,1756000000,26312000000,11499000000,2612000000,9757000000,3256000000,329000000,,18795000000,326000000,4347000000.0,32940000000,,4188000000.0,,,66497000000.0,,323107000000,1587000000,1534717000000,,-7433000000,-14592000000,,-5504000000,-885000000,,,,-17741000000,-2333000000,-32127000000,-1142000000,-247000000.0,425000000.0,,-136824000000,-1313358000000,-108000000.0,,-1998000000,105160000000,139355000000,33005000000,20981000000,1497000000,,,-35481000000,-114613000000,-25406000000,-28401000000,114223000000,282279000000,31790000000,248812000000,1677000000.0,363422000000,-7765000000,-355657000000,-1277688000000,1258664000000,1184600000000,17741000000,14942000000,4978000000,88000000,,4666000000.0,19335000000,216000000.0,11606000000,,,492000000.0,2536352000000,-2257156000000,-18848000000,-17090000000,-2938000000,,-3651000000,,-100545000000.0,-55975000000,-19464000000,-60608000000,,-77000000.0,693728000000,1430670000000,13730000000,409527000000.0,13452000000.0,60000000.0,1966000000.0,,991935000000.0,736942000000,-18035000000,,-300000000000,-15453000000.0,-1652000000,,-401802000000,,,,155136000000,1337102000000,452000000,1492690000000
20210101,1019525000000,2683974000000,794395000000,7486000000,27186000000,146688000000,28740000000,1552000000,25980000000,5468000000,2684000000,2883000000,305000000,13000000,12000000.0,13289000000,2564000000,,26275000000,17000000.0,424000000.0,17000000.0,1671000000.0,199459000000.0,1103000000.0,300369000000,210000000,2595436000000,-17000000.0,-21000000,-9987000000,,-4248000000,-21223000000,-131000000.0,,-85006000000.0,-4968000000,-2251000000,-29610000000,-37638000000,-12755000000.0,,,-439563000000,-1947269000000,-2000000.0,280000000.0,-467000000,-274247000000,-345951000000,-53300000000,-13103000000,2961000000,,-33000000.0,294822000000,75733000000,-21824000000,-37379000000,-176173000000,616268000000,26478000000,587073000000,2717000000.0,205429000000,-25613000000,-179816000000,-271997000000,3088574000000,2705432000000,4968000000,7232000000,3728000000,668000000,46389000000.0,103000000.0,35527000000,281808000000.0,274000000,,654000000.0,1791000000.0,3360571000000,-2914334000000,-133124000000,-10332000000,-7895000000,,-5493000000,4959000000.0,,-58113000000,-156233000000,-69985000000,,-103000000.0,-1008364000000,18298000000,9844000000,34000000.0,,,,8420000000.0,,1026662000000,-18602000000,-87297000000.0,-250000000000,-14346000000.0,-60000000,-500000000.0,-476883000000,-6160000000.0,,-172814000000.0,-260836000000,1492690000000,7117000000,1238971000000
20220101,641024000000,2115750000000,1012823000000,2829000000,22983000000,149506000000,29025000000,678000000,46182000000,1278000000,10370000000,11610000000,272000000,262000000,81000000.0,27445000000,1810000000,62000000.0,20941000000,,1322000000.0,18000000.0,2240000000.0,9875000000.0,,672361000000,1673000000,2224962000000,-1000000.0,-6965000000,-6493000000,-329000000.0,-4774000000,-15778000000,-242000000.0,-3324000000.0,,-10251000000,-60302000000,-70222000000,-843000000,-277000000.0,,-722686000000.0,-19118000000,-1302911000000,,,-446000000,-453168000000,-257929000000,-7557000000,-4454000000,3597000000,-141000000.0,-542000000.0,20891000000,-111015000000,-27316000000,-24114000000,-44588000000,541322000000,45916000000,495251000000,155000000.0,350741000000,-18625000000,-332116000000,-175064000000,3724632000000,3197664000000,10251000000,7107000000,10546000000,1139000000,469618000000.0,3699000000.0,19679000000,18000000.0,3865000000,492000000.0,,554000000.0,3899696000000,-3599390000000,-39595000000,-27672000000,-4284000000,-621000000.0,-7754000000,,-17562000000.0,-160323000000,-6701000000,-35648000000,146000000.0,,-653033000000,298959000000,298959000000,,,,,,,951992000000,-51407000000,,-220000000000,-14581000000.0,-1652000000,-100000000.0,-496430000000,-167762000000.0,-60000000.0,,-187073000000,1238971000000,-1172000000,1050726000000
