,영업활동현금흐름,당기순이익(손실),당기순이익조정을 위한 가감,법인세비용(수익),감가상각 및 무형자산상각,외화환산이익,외화환산손실,퇴직급여,유형자산처분이익,유형자산처분손실,유형자산손상차손,유형자산손상차손환입,무형자산처분이익,무형자산처분손실,무형자산손상차손,무형자산손상차손환입,투자부동산손상차손,충당부채전입액,금융수익,금융비용,지분법손익,종속기업처분손실,기타수익,기타비용,영업활동으로인한자산ㆍ부채의변동,매출채권의 감소(증가),기타채권의 감소(증가),재고자산의 감소(증가),리스채권의 감소(증가),기타유동자산의 감소(증가),기타비유동자산의 감소(증가),매입채무의 증가(감소),미지급금의 증가(감소),미지급비용의 증가(감소),충당부채의 증가(감소),선수금의 증가(감소),기타유동부채의 증가(감소),순확정급여부채의 변동,기타비유동부채의 증가(감소),법인세환급(납부),이자수취(영업),이자지급(영업),투자활동현금흐름,배당금수취,금융기관예치금의 증가,금융기관예치금의 감소,당기손익-공정가치 측정 금융자산의 취득,당기손익-공정가치 측정 금융자산의 처분,기타포괄손익-공정가치 측정 금융자산의 취득,기타포괄손익-공정가치 측정 금융자산의 처분,지분법적용 투자지분의 처분,유형자산의 취득,유형자산의 처분,무형자산의 취득,무형자산의 처분,정부보조금의 수취,파생상품거래의 정산,단기대여금의 대여,단기대여금의 회수,장기대여금의 대여,보증금의 증가,보증금의 감소,기타자산의 처분,재무활동현금흐름,단기차입금의 차입,단기차입금의 상환,사채의 발행,장기차입금의 차입,유동성장기부채의 상환,리스부채의 상환,배당금지급,종속기업 유상증자,종속기업의 비지배주주배당,현금및현금성자산의 증가(감소),기초현금및현금성자산,현금및현금성자산의 환율변동으로 인한 효과,기말현금및현금성자산
20090101,4153306000000,1117778000000,3081192000000,-104818000000,2778727000000,159293000000,31844000000,,486000000,234000000,664000000,-9000000,0,0,11000000,186477000000,626000000,23000000,217657000000,185392000000,-20217000000,0,52357000000.0,727938000000,274561000000,-912427000000,-48311000000,-531108000000,0,7483000000,-37859000000,1021864000000,48005000000,123666000000,-125817000000,,128158000000,-91005000000,-4214000000,363773000000,171861000000,128313000000,-4564324000000,557000000,4000000000000,3555000000000,695500000000,0,575829000000.0,178908000000,0,3761424000000,7850000000,202649000000,50946000000,2550000000,400000000000,695500000000,23000000,879117000000,,,,-117022000000,879117000000,727938000000,498020000000,370299000000,557612000000,,178908000000,0.0,,-528040000000,1352752000000,-6730000000,817982000000
20100101,4883532000000,1159234000000,3665390000000,106335000000,2756532000000,119880000000,85263000000,102471000000.0,1387000000,415000000,0,0,0,0,0,72316000000,267000000,42000000,165465000000,167843000000,-18192000000,-270536000000,23913000000.0,1007485000000,302675000000,-81196000000,-13442000000,-510332000000,120000000000,-50310000000,-54146000000,966567000000,-30419000000,68948000000,-290536000000,,11654000000,-103716000000,10231000000,242389000000,110812000000,112190000000,-4515167000000,33772000000,4403000000000,5400000000000,379105000000,21911000000,606522000000.0,178908000000,20530000000,4942360000000,1887000000,227663000000,-14781000000,46000000,0,379105000000,42000000,1422669000000,,,,408126000000,1422669000000,1007485000000,1117437000000,477064000000,1324562000000,,178908000000,21911000000.0,,776491000000,817982000000,36536000000,1631009000000
20110101,3665858000000,-787895000000,3883281000000,-293064000000,3413450000000,85804000000,132295000000,113970000000.0,740000000,862000000,3589000000,1588000000,469000000,1588000000,5574000000,53226000000,0,0,59542000000,238737000000,-16047000000,0,19122000000.0,2483997000000,818772000000,296691000000,-90398000000,-102153000000,92000000,11010000000,-39796000000,792128000000,97686000000,-158640000000,-208390000000,,-5384000000,-69727000000,13770000000,162266000000,65600000000,151634000000,-3494461000000,6130000000,1713500000000,2401500000000,281975000000,5709000000,210008000000.0,0,2045000000,4063070000000,643000000,215286000000,23784000000,1605000000,0,281975000000,0,1292804000000,,,178908000000.0,-278249000000,1292804000000,2483997000000,1145209000000,941921000000,1000987000000,,0,,0.0,-106852000000,1631009000000,-6180000000,1517977000000
20120101,4569695000000,236345000000,5292306000000,222180000000,4196487000000,234912000000,73391000000,138879000000.0,5925000000,3728000000,0,704000000,3000000,704000000,40012000000,6599000000,0,0,133711000000,209104000000,-42779000000,0,8232000000.0,3441632000000,-721333000000,-1456943000000,15515000000,-72637000000,0,-46216000000,-47872000000,440883000000,-292443000000,158698000000,-390974000000,,359132000000,-180599000000,2453000000,77643000000,33302000000,193282000000,-3688185000000,686000000,413512000000,913500000000,789670000000,13028000000,560458000000.0,0,3938000000,3972479000000,58846000000,285888000000,742000000,3962000000,10000000,789670000000,0,3455548000000,,,0.0,-48124000000,3455548000000,3441632000000,298783000000,494000000000,867851000000,,0,13028000000.0,0.0,833386000000,1517977000000,-12702000000,2338661000000
20130101,3584773000000,418973000000,4817948000000,411332000000,3598472000000,76111000000,55870000000,159453000000.0,9620000000,1639000000,853000000,452000000,0,452000000,1661000000,296000000,0,0,52862000000,163183000000,-23665000000,0,412000000.0,2000000,-1356158000000,-251752000000,133734000000,456766000000,0,89456000000,-120054000000,-1110098000000,-289441000000,68162000000,-315266000000,,-7846000000,-19627000000,9808000000,159286000000,36686000000,173390000000,-4504321000000,14582000000,2644204000000,1657082000000,0,301229000000,351953000000.0,43792000000,5023000000,3473059000000,39838000000,184754000000,1902000000,59629000000,0,18744000000,0,0,,1430041000000.0,0.0,-390984000000,1430041000000,1444717000000,587603000000,372785000000,1195340000000,,0,159873000000.0,0.0,-1310532000000,2338661000000,-6259000000,1021870000000
20140101,2864521000000,917404000000,4379023000000,324553000000,3222085000000,63626000000,89453000000,196756000000.0,8989000000,2173000000,8097000000,672000000,0,3607000000,492000000,324000000,12650000000,8545000000,55655000000,148129000000,-17963000000,0,14508000000.0,14747000000,-2193468000000,-921433000000,-14195000000,-823497000000,503618000000,-219599000000,-93987000000,390046000000,-229679000000,245373000000,-187021000000,,-18242000000,-339482000000,18248000000,110720000000,39452000000,167170000000,-3451279000000,1340000000,1884533000000,1651176000000,0,146159000000,277128000000.0,0,8832000000,2982549000000,39647000000,353298000000,0,49424000000,0,324000000,8000000,219839000000,1522000000.0,2932000000.0,,404659000000,219839000000,14747000000,597563000000,846759000000,887296000000,,0,146159000000.0,0.0,-182099000000,1021870000000,50068000000,889839000000
20150101,2726577000000,1023456000000,4361418000000,410526000000,2969394000000,73057000000,80084000000,199033000000.0,18179000000,4037000000,3027000000,4550000000,0,29000000,239000000,80000000,0,0,81572000000,222699000000,8514000000,2263000000,,0,-2166185000000,-1060718000000,38411000000,404862000000,270093000000,87130000000,-78859000000,-670565000000,-459730000000,-66071000000,-143228000000,,14015000000,-279672000000,48240000000,414007000000,58860000000,136965000000,-2731929000000,25577000000,2544114000000,2306672000000,0,324570000000,,0,7263000000,2364988000000,447320000000,294638000000,1135000000,5017000000,35000000,30647000000,0,-16516000000,1595000000.0,0.0,0.0,-174498000000,0,223626000000,298778000000,901451000000,744788000000,,178908000000,102908000000.0,-5743000000.0,-179850000000,889839000000,41673000000,751662000000
20160101,3640906000000,931508000000,3821065000000,384725000000,2643445000000,250508000000,161897000000,220962000000.0,14637000000,7466000000,1610000000,75000000,0,859000000,138000000,0,507000000,0,58748000000,187931000000,12752000000,0,15546000000.0,0,-847232000000,-553775000000,62981000000,105688000000,347693000000,126616000000,-126256000000,-114977000000,66930000000,-16431000000,-160462000000,,17272000000,-276459000000,21641000000,187816000000,48911000000,125530000000,-3189182000000,59820000000,2684810000000,3293398000000,1500000000,0,182468000000.0,2132000000,29745000000,3735948000000,278067000000,405167000000,261000000,6393000000,-4008000000,0,8202000000,107345000000,9105000000.0,2436000000.0,0.0,307947000000,107345000000,0,597573000000,1667060000000,1520287000000,,178908000000,0.0,-17143000000.0,759671000000,751662000000,47363000000,1558696000000
20170101,6764201000000,1937052000000,3882686000000,395580000000,3214576000000,187558000000,174919000000,198241000000.0,101227000000,20030000000,0,273000000,308000000,30000000,1809000000,35000000,0,251131000000,202591000000,142591000000,-9560000000,917000000,16812000000.0,0,1442400000000,484592000000,-3004000000,-55979000000,0,180844000000,-119002000000,113590000000,106930000000,181509000000,-210973000000,,-585000000,-261966000000,5974000000,416794000000,55340000000,136483000000,-6481072000000,8639000000,1803718000000,2206148000000,0,0,1870000000.0,0,13128000000,6592435000000,160252000000,454448000000,1674000000,1859000000,-2592000000,1020470000000,1118000000,0,2648000000.0,4272000000.0,6090000000.0,862242000000,0,105864000000,497959000000,1195415000000,544731000000,0.0,0,4300000000.0,-5929000000.0,1145371000000,1158696000000,-101507000000,2602560000000
20180101,4484123000000,-179443000000,4232028000000,88077000000,3554565000000,84643000000,138452000000,179880000000.0,6620000000,15048000000,43601000000,0,239000000,0,82000000,348000000,0,234928000000,101313000000,173975000000,-700000000,14732000000,3310000000.0,0,1058287000000,1304963000000,-56870000000,-449901000000,0,-249968000000,-61164000000,267358000000,-111053000000,-194394000000,-217984000000,58479000000.0,20370000000,-224335000000,24510000000,486549000000,71819000000,212019000000,-7675339000000,5272000000,775239000000,1454561000000,431000000,0,593000000.0,6000000,4527000000,7942210000000,142088000000,480607000000,960000000,1210000000,-2026000000,948276000000,15968000000,0,58794000000.0,4136000000.0,10200000000.0,2952919000000,552164000000,552884000000,828169000000,3882958000000,1859098000000,0.0,0,331603000000.0,-51085000000.0,-238297000000,2602560000000,759000000,2365022000000
20190101,2706545000000,-2872078000000,5796575000000,-472164000000,3695051000000,103460000000,171966000000,162997000000.0,35788000000,40897000000,1550430000000,0,552000000,139000000,249450000000,960000000,3602000000,419720000000,186707000000,338419000000,-12147000000,0,20416000000.0,8353000000,404020000000,-1007373000000,-49443000000,632359000000,6617000000,-288770000000,-38608000000,-394564000000,2035750000000,11787000000,-294096000000,-242365000000.0,27690000000,-65681000000,7045000000,252812000000,47276000000,416436000000,-6755393000000,7502000000,114557000000,114200000000,708000000,452000000,4451000000.0,107000000,16738000000,6926985000000,335446000000,540996000000,2468000000,248124000000,-21752000000,63672000000,19881000000,-21000000,30680000000.0,5307000000.0,20416000000.0,4987902000000,1841008000000,1154911000000,1323251000000,4341087000000,1567818000000,64570000000.0,81351000000,276396000000.0,-6541000000.0,939054000000,2365022000000,31927000000,3336003000000
20200101,2278784000000,-76147000000,4465906000000,-526299000000,4134027000000,296870000000,217287000000,160669000000.0,37835000000,60294000000,38494000000,0,111000000,368000000,79593000000,1110000000,0,308334000000,331723000000,612164000000,-12545000000,72654000000,11485000000.0,0,-1477128000000,-935888000000,63192000000,-128495000000,6428000000,175486000000,-58641000000,1387084000000,-1152786000000,-9704000000,-277876000000,-408900000000.0,-40200000000,-109801000000,12973000000,156997000000,75424000000,552274000000,-2311152000000,8239000000,78452000000,78557000000,3227000000,99000000,0.0,6000000,2400000000,2595381000000,446193000000,353313000000,16996000000,118341000000,-24468000000,0,13720000000,0,2084000000.0,1286000000.0,11000000000.0,931829000000,2238806000000,2506420000000,49949000000,2329013000000,1278199000000,62200000000.0,0,172966000000.0,-12086000000.0,899461000000,3336003000000,-17365000000,4218099000000
20210101,5753446000000,1333544000000,5945144000000,385341000000,4500701000000,74125000000,193095000000,144241000000.0,19367000000,64350000000,19085000000,1121000000,196000000,0,29488000000,1152000000,0,216873000000,352423000000,832596000000,-7780000000,0,0.0,15538000000,-1015987000000,-964130000000,20395000000,-1123239000000,4765000000,107679000000,-58821000000,1037950000000,72640000000,580404000000,-237601000000,-268074000000.0,9100000000,-208199000000,11144000000,118305000000,79188000000,470138000000,-4263080000000,4068000000,694313000000,77152000000,34418000000,5226000000,0.0,24000000,4363000000,3141430000000,65711000000,635805000000,2946000000,85983000000,-8344000000,0,14533000000,-26473000000,7145000000.0,8154000000.0,0.0,-2466136000000,2573757000000,2425117000000,498027000000,1298346000000,4344208000000,66941000000.0,0,0.0,0.0,-975770000000,4218099000000,299268000000,3541597000000
20220101,3011020000000,-3195585000000,6083584000000,-237785000000,4557457000000,702144000000,449980000000,168260000000.0,25737000000,54432000000,1260436000000,3181000000,0,193000000,136372000000,1975000000,7736000000,253075000000,607501000000,781205000000,-5558000000,0,1681000000.0,0,700628000000,1833491000000,-55073000000,390672000000,7684000000,435838000000,-10125000000,-282082000000,-625606000000,-514500000000,-259969000000,-1977000000.0,-4188000000,-381405000000,167868000000,153969000000,77219000000,500857000000,-6700169000000,4461000000,1769668000000,756267000000,27100000000,412000000,-3934000000.0,3547000000,4800000000,5079279000000,171421000000,830583000000,11392000000,57503000000,-49145000000,9643000000,9608000000,-54033000000,2676000000.0,6727000000.0,1464000000.0,1946024000000,4487824000000,2565541000000,443230000000,4165508000000,4209915000000,82296000000.0,232580000000,0.0,-60206000000.0,-1743125000000,3541597000000,26177000000,1824649000000
