,영업활동현금흐름,당기순이익(손실),수익ㆍ비용의가감,감가상각비,무형자산상각비,퇴직급여,대손상각비,이자비용,외화환산손실,당기손익-공정가치 측정 금융자산 평가손실,당기손익-공정가치 측정 금융부채 평가손실,당기손익-공정가치 측정 금융자산 평가이익,당기손익-공정가치 측정 금융부채 평가이익,당기손익-공정가치 측정 금융자산 처분손실,유형자산처분손실,투자부동산처분손실,무형자산처분손실,사용권자산처분손실,유형자산손상차손,투자부동산손상차손,무형자산손상차손,사용권자산손상차손,법인세비용,이자수익,배당금수익,기타의 대손상각비,외화환산이익,종속기업/관계기업/공동기업투자처분이익,유형자산처분이익,투자부동산처분이익,무형자산처분이익,사용권자산처분이익,지분법손익,염가매수차익,영업활동으로인한자산ㆍ부채의변동,매출채권,기타채권,재고자산,기타유동자산,기타비유동자산,매입채무,기타채무,환불부채,기타유동금융부채,기타유동부채,예수보증금,퇴직금의 지급,퇴직급여부채의 관계사 전입,사외적립자산의 기여,기타비유동부채,이자수취(영업),배당금수취(영업),이자지급(영업),법인세납부(환급),투자활동현금흐름,단기금융상품의 감소,단기기타채권의 감소,장기금융상품의 감소,장기기타채권의 감소,기타포괄손익-공정가치 측정 금융자산의 처분,기타비유동금융자산의 감소,관계기업에 대한 투자자산의 처분,유형자산의 처분,투자부동산의 처분,무형자산의 처분,정부보조금의 수취,종속기업 처분으로 인한 순현금유입액,단기금융상품의 증가,단기기타채권의 증가,장기기타채권의 증가,기타포괄손익-공정가치 측정 금융자산의 취득,유형자산의 취득,투자부동산의 취득,무형자산의 취득,사업결합으로 인한 순현금 유출,재무활동현금흐름,단기차입금의 차입,장기차입금의 차입,종속기업의 유상증자,단기차입금의 상환,유동성장기차입금의 상환,유동성사채의 상환,리스부채의 지급,종속기업투자의 취득,배당금지급,환율변동효과 반영전 현금및현금성자산의 순증가(감소),기초현금및현금성자산,현금및현금성자산에 대한 환율변동효과,해외사업환산차이,기말현금및현금성자산
20090101,252191120002,157974435297,175710697730,67118652440,4361057854,17625112399,3640504529,17349955048,1477900057,,,,,,1911660276,,248341630,,,,,,54833393581,1025209891,3203600.0,,505604609,,1117416513,,,,3590751465,,,,,2124156091,5944836190,-7599314565,,,-1193627828,,3836973819,-668808112,15936383063,-374166199,-6496830263,252018406,1031460572,368169712,17558965387,65334677922,-129384908391,,205183663,,14284530533,,,,2229419636,,30655079,,,,109955750.0,28003500567,,110173898269,,1383933946,6463408770,-127712666237,,50567800000.0,,65427887313.0,80173248872,,,,33616931000,-4906454626,40844122739,-65357564,-1700611567,34171698982
20100101,319489643648,236952285789,148055394816,72928795100,6873126280,19759354218,86197133,29755857749,378476568,,,,,,1090576665,,237644729,,,,,,81651658523,1462008695,9197700.0,,345282357,,984820891,,2080941592.0,,4849192991,,,,,-56136172190,-1365612737,2831617835,,,567459757,,13245207670,-1561299981,12935851851,1076703423,-3552829882,2121266272,770141276,1431066299,27420887515,40298357017,-528958411292,,605811460,,9668925000,,,,4910241737,30500000000.0,2114798699,,,,720626149.0,14922406331,,148647878388,,6577852290,405950695030,219347273313,84423232192.0,,,,120000000000,120000000000.0,,,41992841820,9878505669,34171698982,-150207029,501527530,44401525152
20110101,288870035578,271518435669,112592316446,86615729310,6301176492,24161911789,770780349,29783841977,179913955,,,,,,799075053,,194069760,,,,,,100572889577,2022440753,8180200.0,,132894006,,4872163103,,4806581346.0,,5474764096,,,,,-54016483032,-1467911176,-396392478,,,-627080872,,12875749264,357528907,23720253090,378069862,-15438724316,2188074703,1257529662,373033090,28585659311,68285619978,-134903871143,,31057162,,10638636737,,,,17424883358,,5000681818,,,300000000.0,,11839847371,,154648645888,,3575480920,-2334978240,-108113626772,,2426000000.0,,83871386257.0,60673906893,,,,44505913260,45852537663,44401525152,37604630,1470917980,91762585425
20120101,238032823027,311987779732,266846868164,100179290820,8393914458,29388658435,42085522,32961327805,635393531,,,,,,1525457478,,92545327,,,,,,118302030801,3352150167,5843000.0,,14109844813,,3020224972,,4554.0,,4962766735,,-219764958970.0,,,-7005495233,883589834,-3097327897,,,-1774501606,,-3285934225,-154212919,23782706533,322647030,-49887186661,567570005,3046248746,5843000,39593644434,84495313211,-369677769817,,18576594962,,9512159695,,,,3261276231,,4554,,,9000000000.0,27171474.0,16203103836,,167680783786,,5273836658,200902568257,108760012506,29620913668.0,90411300000.0,,48158889322.0,50000000000,50000000000.0,,,58743199840,-22884934284,91762585425,-420591370,-3252798262,65204261509
20130101,389518347945,365652540664,273111961467,96686281001,13551533880,33989519713,663382338,37309879035,561947599,,,,,,2994627777,,871528864,,,,,,107803755459,3031186786,7659632.0,1139996.0,12572988786,,1687693284,,12080000.0,,3579310313,,-91933160466.0,,,-48734402852,1335238534,164978369,,,483893046,,3104609834,-1218858000,1358378741,38361234,-27557387682,-15329214751,3863625576,365069428,38910433001,122631255723,-492723348238,,2005156741,,13950124401,,,,4932476839,,126800490,,,500000000.0,2090690235.0,27867656147,,134457845957,,7429072995,333045726847,185247853934,214785686357.0,555000000.0,,1703323013.0,151660350000,300000000000.0,16447722.0,,63364440890,82042853641,65204261509,-232077866,-3969760908,143045276376
20140101,465790652144,354564706876,305775547677,105452964666,15658683290,40011441932,592312840,37511470047,713069495,,,,,,3873520461,,445278814,,,,,,125646939157,5401105261,,-1114804.0,4763161336,,4316603741,,92192880.0,,5467436710,,-31872713218.0,,,-32301596800,606350592,-1817615670,,,1033505086,,22641822271,-1249230195,2266594889,1127116316,-46685469338,2009320977,4603934997,645713000,30443763681,137482773507,-277562334524,,21066143,,8420373497,,,,10463883314,,155000000,,,,1221301317.0,19257446633,,187232114284,,5636913941,90584462203,7704322624,453550525477.0,19067400000.0,,635009791727.0,86611314554,86611314554.0,32598302.0,,63882100270,195932640244,143045276376,151911419,-1062712577,338067115462
20150101,637804646876,470362045450,367279214160,110813605606,16252794908,40769120656,777272735,32871110335,5141526220,,,,,,9337069437,966482205.0,2300880600,,,325120701.0,1858649605.0,,174414470074,7605874055,,1578471703.0,1364045108,,4458308769,,14308953.0,,6325853489,,-16098521558.0,-2017813707.0,3052827462.0,-21207355354,-9038270651,3431655485,1474315400.0,6766030860.0,1430731623,,69305563058,-643384767,2534066830,203989006,-70635989862,1142867685,7117116985,363771708,30131877005,161087102864,-347006566398,2002500000.0,2290001928,,15186736539,,,,16597880919,,342596880,,,14500000000.0,659363625.0,21532866918,,301677148010,,6664509617,46920375707,-231512593429,57572405371.0,3088496800.0,,112071926426.0,108754896800,151520342208.0,18516189.0,,67658599977,59285487049,338067115462,-672004970,257153503,396937751044
20160101,713435543563,579239822062,451718379293,115732844784,17961600110,47490777772,1550943503,19869392720,1222027562,,,,,,8512686893,1174253.0,192629411,,8549827643.0,254861863.0,70598767742.0,,173495828366,3920531040,-13438900.0,772000000.0,2108491984,,1156706417,39696000.0,2483334.0,,7250466854,,-135163094226.0,-48144426863.0,2800252745.0,-92528942562,-6714725093,97440163,9014048589.0,20572311240.0,-1270038175,,20151919304,213808529,2481759088,953644306,-59102474299,19181078253,3431648256,397500188,20707717399,165480994611,-405531578368,19000000000.0,8321649814,1001000000.0,18231417689,,,,4148267192,676600000.0,506340739,779007137.0,,15000000000.0,10493722416.0,21053559303,,331548019970,,8082411638,66139140475,-367050132216,101814937680.0,12760000000.0,,99040019856.0,290000000000,,31334561.0,,93332722616,-59146167021,396937751044,142714749,918185860,338852484632
20170101,735477193004,618308226710,466887794690,127124654891,19289399340,48457123502,1335022355,13953664226,3402302950,,,,,,6735212138,,1798465969,,7651976156.0,219898734.0,772984855.0,,242770350747,3479518136,-21619100.0,427602848.0,1136286182,,1101235294,321831128.0,625000.0,,1298502931,,-107948638127.0,-62256192579.0,-2376871404.0,-16586734219,5482565556,727788794,10335023323.0,-13458299581.0,-401578804,2526813016.0,3409917870,-2017898826,2430582251,345219660,-17591718152,-13656090530,3926139238,3549619100,14364487766,234881460841,-333798547089,10000000000.0,598461977,500000.0,14431697444,,,,2276976050,1287347361.0,29444000,,,,1163006965.0,10391945910,,284206348476,,6601051698,10604818731,-351122047189,77616585275.0,15582240000.0,,96524402657.0,5000000000,180000000000.0,26024682.0,-20000000000.0,133963959724,50556598726,338852484632,-330775088,-2884055548,386194252722
20180101,817116843804,692278706347,520574156305,135694205295,21752965806,43993371189,-182012119,10135518970,1269641235,882420015.0,,910411462.0,-527375520.0,,10130107174,,435956321,,10847999340.0,931553838.0,28981153390.0,,263726412686,3836339122,-19281900.0,-958326063.0,992074598,,2007434469,,59960552.0,,-1319193795,,-154376186486.0,3678536884.0,840888309.0,-43471253195,-57652675241,-3945464731,-42740446487.0,21884680463.0,-7970704222,30050165944.0,5310730780,380920581,4438869046,961181937,-64309539715,7045661253,4612293973,2483354511,11628566111,236826914735,-430292259476,7043340694.0,2418554769,492738779.0,19766011640,,,,3295995994,,95000000,,,5000000000.0,695071784.0,11320272647,,356284941186,7846162460.0,7842597936,89907180259,-378036987192,323462505217.0,2356000000.0,,237236106490.0,25064090038,262437762000.0,139468422.0,-11875640983.0,161724451874,8787597136,386194252722,224665532,1437283204,396643798594
20190101,1139641474935,788173092234,651911831070,223940938745,27078995902,46396918588,231152265,13870018114,2210056526,48496900.0,0.0,0.0,-1405338340.0,29066269.0,7471500310,12145224.0,1709806609,40106066.0,8172548599.0,2076269660.0,41517092546.0,-1370300650.0,303908097869,8700706278,-28256000.0,498555701.0,1771727446,0.0,6156226718,112545282.0,226562693.0,58412806.0,6919863873,0.0,15693436344.0,-22581565164.0,17762470159.0,-31006365565,-6138979641,0,2410984772.0,70917430472.0,-874540704,30299904461.0,21482822264,-2382570699,4565340718,-461390214,-66366829778,6462898833,7587742626,2901037478,10180156104,316445508713,-461380844546,15055168850.0,37975273738,0.0,64308271893,549994737.0,558934331.0,734507866.0,12659860186,340000000.0,463027231,0.0,0.0,70341850599.0,254010544.0,65426828092,2666361770.0,326089104184,50000010000.0,8973731170,174322227956,-429403943010,271711203706.0,0.0,0.0,323425777729.0,13566080000,150000000000.0,80342388920.0,0.0,158590520067,248856687379,396643798594,-695843313,2299416511,647104059171
20200101,1004842472035,813101140024,626194542524,233925508629,28295853267,50474494996,595482883,12507879942,2555055538,0.0,2431280464.0,0.0,-3205933336.0,22428828.0,7796049548,122712135.0,1179758364,12559557.0,958695011.0,2723414919.0,56925461.0,0.0,307973132289,4984491548,-933000000.0,120354050.0,1444637923,0.0,3539815333,3740590000.0,466778724.0,217521224.0,7024275269,0.0,-97771906662.0,22475967366.0,4352829222.0,-67826527783,12117381977,-7901977197,-30067851787.0,22469667835.0,-549255134,-12986505720.0,-8576068399,-554689404,7374041609,825666713,-54936455806,30759953064,4959977013,4227270000,8700381507,337168169357,-745883641217,76200000999.0,894557167,4000000.0,9748658623,0.0,1173000000.0,0.0,6797791333,4760000000.0,9906597662,0.0,0.0,62500000000.0,178968162.0,3927857300,0.0,505743484068,0.0,13128703763,269889233708,-465737759835,96944735692.0,22736389421.0,0.0,194202086120.0,3567121000,100000000000.0,91236233038.0,0.0,196413444790,-206778929017,647104059171,-300879719,-5918786337,434105464098
20210101,984481666368,861127851880,655594377448,240917419595,34129748348,50413856656,3729253285,12537198896,1233674337,4921968498.0,1380318713.0,-1582418788.0,-255798240.0,0.0,4947235977,0.0,700100092,87136919.0,3695340823.0,0.0,563290248.0,338700185.0,326237006705,5680872283,-186600000.0,-1135147924.0,1645379301,6259434084.0,7882228803,424275509.0,31400000.0,50260469.0,5072767505,31288923.0,-232237308874.0,48830535465.0,7439955809.0,-147805686623,3246409858,-5825558786,5129900386.0,-31106874116.0,-3017943114,-12476452211.0,-33517901510,-1293303890,4891083551,561746152,-55921334529,-1589718214,4850875119,6384911352,7982482336,303256558221,-465122432772,42000000000.0,7150005783,0.0,2286461472,0.0,0.0,16943803.0,17970989609,2360000000.0,270342552,253700000.0,7364927342.0,76229000000.0,696100059.0,4563158125,0.0,321874697496,12528920.0,10312236474,131108082259,-238400403869,211508361822.0,0.0,120000000.0,160451258420.0,3578572000,0.0,85093142807.0,14770273001.0,186135519463,280958829727,434105464098,325780165,19130537743,734520611733
20220101,497299483100,258340046881,678770999043,246887613016,41092465637,48421103671,-428896863,14830609188,5088997246,6732536253.0,0.0,-4632564558.0,0.0,0.0,3417665095,36425687.0,3010429856,61581730.0,6796472886.0,0.0,177834742877.0,12183534981.0,159429313871,11331601645,0.0,-197792932.0,3011356217,38088456.0,20139865677,146808846.0,93183291.0,74404968.0,6957929498,0.0,-199657616423.0,12853602709.0,-11283101681.0,62013447364,11453506140,-3913036948,-65158003482.0,-49816791137.0,481980735,-72237655740.0,-33973949285,5859634835,5830223526,129783254,-44570790774,-5666018887,9693585964,6013497709,11779250888,244081779186,-197383721806,83471000000.0,4352892626,0.0,3953324404,197100000.0,0.0,0.0,34405002695,576520000.0,4640939909,19110000.0,0.0,7200000000.0,751760126.0,2028968475,536445000.0,157045694758,0.0,9391190370,152045552711,-373633368656,319949820109.0,5000000000.0,0.0,364155453328.0,5708202529,30000000000.0,85831436888.0,11723995920.0,201164100100,-73717607362,734520611733,-77301,-5710363992,655092563078
