,영업활동현금흐름,당기순이익,당기순이익조정을 위한 가감,퇴직급여,감가상각비,무형자산상각비,대손상각비,이자비용,외화환산손실,매출채권처분손실,유무형자산손상차손,매도가능금융자산관련손실,관계기업투자주식손상차손,법인세비용,지분법손실,유무형자산처분손실,계약자산 등의 상각,기타 현금의 유출이 없는 비용,이자수익,외화환산이익,유무형자산처분이익,매출채권처분이익,지분법이익,관계기업주식처분이익,종속기업처분이익,배당금수익,기타금융자산처분이익,계약부채 등의 상각,기타 현금의 유입 없는 수익등,매출채권 및 기타채권의 감소(증가),재고자산의 감소,계약자산 등의 증가,기타자산의 감소(증가),매입채무 및 기타채무의 감소(증가),계약부채의 증가,기타부채의 증가,순확정급여부채의 감소,이자수익의 수취,배당수익의 수취,이자비용의 지급,법인세납부,투자활동현금흐름,매도가능금융자산의 처분,금융기관예치금의 감소,관계기업투자의 처분,매각예정자산의 처분,파생상품의 감소,유형자산의 처분,무형자산의 처분,대여금의 감소,보증금의 감소,국고보조금의 증가,매도가능금융자산의 취득,금융기관예치금의 증가,관계기업투자주식의 취득,유형자산의 취득,무형자산의 취득,대여금의 증가,보증금의 증가,선급금의 증가,재무활동현금흐름,단기차입금의 차입,사채의 발행,장기차입금의 증가,비지배지분의 증가,단기차입금의 상환,유동성장기부채의 상환,자기주식의 취득,배당금의 지급,리스부채의 상환,현금및현금성자산의 환율변동으로 인한 효과,현금및현금성자산의 증감,기초의 매각예정으로 분류된 현금및현금성자산,기초 현금및현금성자산,기말현금및현금성자산
20090101,583801000000,292977000000,,15107000000,437295000000,9338000000,62060000000,59732000000,0,258000000,,,,0,0.0,,,41000000,43906000000,16427000000,30000000,,0,,,0,4319000000.0,,8612000000.0,,-53828000000,,,,,,-9379000000,8044000000,0,46564000000,63466000000,-396092000000,66000000,202000000000,0.0,,,1176000000,1723000000,8634000000,,0,0,0,21733000000.0,479888000000,12735000000,6966000000,45406000000,18278000000.0,-99400000000,186589000000,399982000000,170000000000,,188812000000,479460000000,0.0,-55456000000,,-1000000,88308000000,,60042000000,148350000000
20100101,1283569000000,570021000000,,29138000000,1008184000000,245311000000,46979000000,124902000000,1743000000,0,,,,-1787000000,0.0,52596000000.0,,1493000000,41184000000,1859000000,954000000,,2019000000,,,416000000,3383000000.0,,566000000.0,,-23210000000,,9416000000.0,,,8880000000.0,-48204000000,8947000000,416000000,126554000000,65149000000,-1093146000000,640000000,18000000,0.0,,,20698000000,1864000000,30648000000,,397000000,20372000000,4000000000,52998000000.0,1183097000000,25700000000,31961000000,0,0.0,198770000000,574910000000,841427000000,255304000000,,925976000000,453743000000,2019000000.0,-119537000000,,-8000000,389185000000,,148350000000,537535000000
20110101,297635000000,84663000000,,32448000000,934514000000,255091000000,19708000000,166130000000,6127000000,18557000000,,,,0,83832000000.0,27227000000.0,,48528000000,70822000000,5555000000,388000000,,1205000000,,,384000000,0.0,,21117000000.0,,-230648000000,,-70309000000.0,,,-9152000000.0,-38782000000,11733000000,384000000,159254000000,80614000000,-1693744000000,71000000,9000000000,0.0,,,29274000000,3935000000,35787000000,97631000000.0,0,10836000000,6000000000,151376000000.0,1356536000000,360427000000,25511000000,110132000000,0.0,977393000000,414110000000,650000000000,1110251000000,,369019000000,697690000000,1205000000.0,151376000000,,2000000,-418714000000,,537535000000,118821000000
20120101,1874728000000,-59615000000,2143062000000.0,36029000000,1097190000000,295890000000,63674000000,212642000000,8581000000,94485000000,,,,-69618000000,0.0,40492000000.0,,216000000,69746000000,8994000000,1423000000,,691000000,,,600000000,0.0,,0.0,366316000000.0,25792000000,,35223000000.0,27125000000.0,,30463000000.0,-40011000000,11451000000,600000000,197718000000,23052000000,-1985596000000,1704000000,300000000,60000000.0,,,24461000000,3817000000,29846000000,48104000000.0,246000000,4966000000,11904000000,22901000000.0,1945794000000,57951000000,20038000000,53115000000,29746000000.0,333413000000,90000000000,550118000000,1051413000000,,310000000000,1036136000000,-691000000.0,-64875000000,,1000000,222546000000,,118821000000,341367000000
20130101,1777718000000,279461000000,1700553000000.0,43130000000,1204295000000,110349000000,84864000000,209867000000,4561000000,44675000000,,,,54383000000,0.0,22930000000.0,,282000000,58663000000,4911000000,937000000,,0,,,394000000,0.0,,0.0,23076000000.0,-48103000000,,-17648000000.0,92090000000.0,,-2610000000.0,-60894000000,11566000000,394000000,199483000000,14773000000,-1962223000000,484000000,16256000000,0.0,,,40452000000,3633000000,22549000000,52455000000.0,1059000000,179000000,27281000000,0.0,1736277000000,248122000000,22530000000,63663000000,0.0,241472000000,461942000000,807124000000,455600000000,,511942000000,972311000000,-979000000.0,0,,1000000,56968000000,,341367000000,398335000000
20140101,2015383000000,227721000000,1984507000000.0,52348000000,1334396000000,171008000000,83908000000,210057000000,8141000000,48623000000,,,,92394000000,,54470000000.0,,4185000000,39342000000,7514000000,1025000000,,976000000,,,358000000,,,17000000.0,186307000000.0,118360000000,,-43135000000.0,-191351000000.0,,-55066000000.0,-57166000000,32316000000,533000000,199018000000,30676000000,-2307254000000,1994000000,18281000000,5656000000.0,,,9136000000,1945000000,24831000000,26668000000.0,556000000,1948000000,11652000000,,2144799000000,176474000000,27080000000,33812000000,,309470000000,355000000000,896323000000,710000000000,,340000000000,1236869000000,,-65492000000,,4000000,17603000000,,398335000000,415938000000
20150101,1792908000000,351232000000,1673640000000.0,54531000000,1434133000000,174810000000,49610000000,187948000000,7715000000,24206000000,,,,114709000000,1249000000.0,35964000000.0,,14754000000,37350000000,7410000000,1634000000,,0,,,349000000,,,27397000000.0,-237936000000.0,-88811000000,,-26565000000.0,10588000000.0,,33616000000.0,-51729000000,23340000000,349000000,183375000000,72278000000,-1510693000000,38545000000,13350000000,,,,12295000000,3977000000,26663000000,37634000000.0,4352000000,10876000000,5856000000,0.0,1375425000000,176147000000,26937000000,45216000000,2700000000.0,-406050000000,126296000000,597475000000,610000000000,,126296000000,1211760000000,0.0,-65492000000,,44000000,-123791000000,,415938000000,292147000000
20160101,2224768000000,492739000000,1951096000000.0,60797000000,1473745000000,179760000000,25166000000,142677000000,4487000000,12338000000,,,,149839000000,,63771000000.0,,11516000000,34392000000,4057000000,3485000000,,532000000,,,605000000,,,28405000000.0,-253420000000.0,103218000000,,53424000000.0,45337000000.0,,20581000000.0,-70541000000,22199000000,605000000,146131000000,95740000000,-1492349000000,8171000000,350000000,,,,11971000000,3016000000,25847000000,26016000000.0,570000000,3287000000,354000000,,1283618000000,204216000000,42765000000,33020000000,460000000.0,-707286000000,335860000000,298718000000,190000000000,,335860000000,1008810000000,324000000.0,-109153000000,,3000000,25136000000,,292147000000,317283000000
20170101,2279431000000,547118000000,1973876000000.0,70535000000,1444138000000,244872000000,71765000000,116851000000,10430000000,14841000000,,,,119702000000,,65858000000.0,,6430000000,26094000000,10655000000,3305000000,,-885000000,,,327000000,,,,-420883000000.0,-76617000000,,3508000000.0,260024000000.0,,84243000000.0,-9961000000,19507000000,327000000,110834000000,150563000000,-1358295000000,1764000000,40350000000,,,,9742000000,5820000000,35295000000,35626000000.0,3885000000,6254000000,50452000000,30996000000.0,1182574000000,153358000000,36194000000,25014000000,2050000000.0,-788511000000,208967000000,298726000000,100000000000,,208967000000,1038313000000,,-152814000000,,-29000000,132596000000,,317283000000,449879000000
20180101,2069439000000,481609000000,1822494000000.0,64209000000,1428565000000,243308000000,65025000000,101468000000,4298000000,22384000000,,,,166658000000,,27886000000.0,1926016000000.0,10384000000,34286000000,4104000000,2200000000,,153000000,,,534000000,,-292962000000.0,,185829000000.0,-123038000000,-1869299000000.0,2911000000.0,-281003000000.0,361931000000.0,-47264000000.0,-131398000000,27695000000,534000000,90827000000,172066000000,-1593572000000,3934000000,85350000000,,,,6883000000,5566000000,52318000000,54691000000.0,251000000,7963000000,75355000000,1000000000.0,1220984000000,400389000000,70270000000,26353000000,,-546873000000,487337000000,298717000000,200000000000,,492337000000,866196000000,,-174645000000,,-242000000,-71248000000,,449879000000,378631000000
20190101,2252600000000,438831000000,2017422000000.0,68487000000,1756997000000,310568000000,61592000000,111182000000,1516000000,19192000000,,,,133029000000,48000000.0,62107000000.0,2002176000000.0,13934000000,41290000000,1617000000,1981000000,,1249000000,,,347000000,,-359683000000.0,4000000.0,-314503000000.0,22878000000,-2343594000000.0,-19940000000.0,166147000000.0,365244000000.0,42043000000.0,-30403000000,34750000000,407000000,89134000000,149676000000,-3214344000000,10894000000,27500000000,5940000000.0,,,18388000000,5430000000,40781000000,33131000000.0,128000000,12419000000,28032000000,5361000000.0,2326514000000,237971000000,50020000000,11162000000,2171000000.0,1220061000000,63283000000,1484186000000,1100000000000,,68283000000,885000000000,,-174645000000,298756000000.0,367000000,258684000000,,378631000000,162950000000
20200101,2548551000000,478065000000,2242627000000.0,92099000000,2026038000000,344439000000,62952000000,149250000000,4936000000,2529000000,399346000000.0,268000000.0,,200018000000,966000000.0,39060000000.0,2231160000000.0,3043000000,51218000000,3312000000,3163000000,,1582000000,,-313926000000.0,239000000,,-361597000000.0,8545000000.0,-68298000000.0,152616000000,-2327022000000.0,-7170000000.0,-603207000000.0,347218000000.0,114127000000.0,-178159000000,41236000000,227000000,128705000000,84899000000,-2609326000000,7316000000,6050000000,,310456000000.0,2439000000.0,17325000000,25707000000,75113000000,24110000000.0,6313000000,11221000000,22709000000,4500000000.0,2703443000000,269805000000,59038000000,13439000000,,150838000000,100785000000,996200000000,400000000000,,55785000000,826039000000,,-177549000000,286774000000.0,-1199000000,88864000000,162950000000.0,474365000000,726179000000
20210101,3404503000000,724218000000,3017541000000.0,99618000000,2071100000000,370036000000,71450000000,153152000000,4020000000,1837000000,26952000000.0,139000000.0,3119000000.0,180975000000,590000000.0,26929000000.0,2390717000000.0,4327000000,54609000000,4089000000,1921000000,3141000000.0,2902000000,,,572000000,115000000.0,-305605000000.0,641000000.0,367900000000.0,42845000000,-2699147000000.0,-80127000000.0,272346000000.0,197845000000.0,51633000000.0,-167120000000,45616000000,712000000,144443000000,239141000000,-2944805000000,6620000000,128109000000,474000000.0,,,13368000000,3867000000,43752000000,24720000000.0,9982000000,39578000000,154700000000,2000000000.0,2251202000000,670650000000,40077000000,15883000000,1607000000.0,-416515000000,172547000000,886537000000,500000000000,412000000.0,222547000000,1079742000000,100000000000.0,-286505000000,287217000000.0,956000000,44139000000,,726179000000,770318000000
20220101,3504980000000,662588000000,3046065000000.0,106289000000,2094995000000,356186000000,79009000000,180576000000,3579000000,41569000000,74222000000.0,601000000.0,1012000000.0,194224000000,,43823000000.0,2519021000000.0,47000000,51158000000,4055000000,3108000000,,3334000000,-893000000.0,,808000000,5060000000.0,-224355000000.0,11000000.0,58199000000.0,14023000000,-2416431000000.0,21462000000.0,-59771000000.0,201840000000.0,17052000000.0,-192680000000,39294000000,803000000,152792000000,90978000000,-2866689000000,10013000000,87358000000,,,,13534000000,6390000000,40770000000,20043000000.0,6318000000,77320000000,58700000000,15359000000.0,2288358000000,558183000000,39235000000,13960000000,,-573707000000,98916000000,846588000000,750000000000,723000000.0,98916000000,1625000000000,,-262157000000,283861000000.0,-294000000,64290000000,,770318000000,834608000000
