,영업활동으로 인한 현금흐름,영업으로부터 창출된 현금흐름,이자의 수취,이자의 지급,배당금의 수취(영업),법인세의 납부(환급),투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,기타수취채권의 감소,기타장기수취채권의 감소,관계기업 투자자산의 처분,금융상품의 처분,유형자산의 처분,무형자산의 처분,정부보조금의 수취,연결대상 변동으로 인한 순 현금 유입,매각예정자산의 처분,사업양도로 인한 현금유입,투자활동으로 인한 현금유출액,기타수취채권의 증가,기타장기수취채권의 증가,관계기업 및 공동기업투자자산의 취득,금융상품의 취득,유형자산의 취득,무형자산의 취득,"사업양도,결합으로 인한 현금유출",재무활동으로 인한 현금흐름,재무활동으로 인한 현금유입액,차입금의 증가,자기주식 처분,비지배지분에 의한 자본납입,재무활동으로 인한 현금유출액,차입금의 상환,비지배지분의 감소,배당금의 지급,현금및현금성자산의순증가(감소),기초현금및현금성자산,현금 및 현금성자산의 환율변동효과,매각예정자산집단에 포함된 현금성자산,기말현금및현금성자산
20090101,2211105000000,2886497000000,24018000000,115004000000,1408000000,585814000000,-1058905000000,199511000000,150632000000,3402000000,,,37271000000,727000000.0,,,,,-1258416000000,-106798000000,-4530000000,-20146000000,-3893000000.0,-1099333000000,-23543000000,,-335315000000,476305000000,142285000000,,6925000000.0,-811620000000,-598743000000,,-210584000000,585494000000,513664000000,7438000000,,1106596000000
20100101,2507190000000,2985720000000,25547000000,81889000000,1196000000,423384000000,-1621948000000,299362000000,285614000000,7869000000,,,5080000000,182000000.0,,,,,-1921310000000,-189958000000,-13023000000,-14210000000,-612000000.0,-1617231000000,-24304000000,,-624402000000,235213000000,231776000000,,3437000000.0,-859615000000,-579627000000,,-279988000000,260840000000,1106596000000,598000000,,1368034000000
20110101,2240339000000,2985906000000,29185000000,88036000000,1860000000,688576000000,-2280450000000,121143000000,103562000000,12651000000,,,4917000000,,,,,,-2401593000000,-110591000000,-25297000000,-41381000000,-1817000000.0,-2195418000000,-27089000000,,63012000000,1376356000000,1376356000000,,,-1313344000000,-987321000000,,-318645000000,22901000000,1368034000000,-11556000000,,1379379000000
20120101,1765709000000,2270359000000,25699000000,99505000000,1560000000,432404000000,-2654608000000,190058000000,178411000000,381000000,,,9267000000,1999000000.0,,,0.0,,-2844666000000,-812724000000,0,-75565000000,-15850000000.0,-1907427000000,-33100000000,0.0,246099000000,1013942000000,1013942000000,,0.0,-767843000000,-451684000000,,-316159000000,-642800000000,1379379000000,-15812000000,,720767000000
20130101,2182884000000,2561743000000,38317000000,90370000000,1407000000,328213000000,-1310258000000,1261847000000,1234072000000,19293000000,,,8099000000,383000000.0,,,,,-2572105000000,-1121188000000,-23428000000,-25420000000,-74000000.0,-1360673000000,-41322000000,,-198802000000,339848000000,339848000000,,,-538650000000,-230245000000,,-308405000000,673824000000,720767000000,4463000000,,1399054000000
20140101,1994425000000,2430461000000,43697000000,83162000000,18788000000,415359000000,-1990659000000,992715000000,953973000000,28035000000,0.0,0.0,10721000000,-14000000.0,0.0,,-136418000000.0,,-2983374000000,-1304098000000,-39443000000,-41935000000,-114000000.0,-1411268000000,-50098000000,-136418000000.0,-437716000000,509791000000,494236000000,,15555000000.0,-947507000000,-647657000000,,-299850000000,-433950000000,1399054000000,22912000000,,988016000000
20150101,3172130000000,3415850000000,34737000000,65092000000,33500000000,246865000000,-1697784000000,1211452000000,934141000000,27111000000,,2991000000.0,163684000000,14115000000.0,69410000000.0,,,,-2909236000000,-1143614000000,-45599000000,-150000000,-12852000000.0,-1633410000000,-73611000000,,-757467000000,189830000000,186139000000,,3691000000.0,-947297000000,-637885000000,,-309412000000,716879000000,988016000000,23000000,,1704918000000
20160101,2516697000000,3083208000000,44349000000,74867000000,18426000000,554419000000,-1736799000000,1002101000000,901547000000,58706000000,,,17522000000,540000000.0,,,,,-2738900000000,-610722000000,-97272000000,-17555000000,,-1398503000000,-74111000000,-537276000000.0,-1007281000000,624860000000,611891000000,,12969000000.0,-1632141000000,-1285656000000,,-346485000000,-227383000000,1704918000000,-3168000000,,1474367000000
20170101,3180748000000,3716426000000,28983000000,101053000000,11154000000,474762000000,-1640356000000,1580182000000,979781000000,83259000000,,,402661000000,8022000000.0,60335000000.0,,43759000000.0,2022000000.0,-3220538000000,-769618000000,-68605000000,-28720000000,-3001000000.0,-2252616000000,-97978000000,,-736537000000,1385063000000,1385063000000,,,-2121600000000,-1733668000000,,-385682000000,803855000000,1474367000000,-28881000000,,2249341000000
20180101,2124969000000,2887846000000,47570000000,131780000000,10010000000,688677000000,-3639046000000,1561948000000,1016425000000,51325000000,21116000000.0,12469000000.0,442030000000,2637000000.0,15946000000.0,,,,-5200994000000,-535972000000,-42135000000,-34992000000,-89240000000.0,-4219355000000,-110281000000,-169019000000.0,1793848000000,3036499000000,2989606000000,,46893000000.0,-1242651000000,-748112000000,,-493880000000,279771000000,2249341000000,-15410000000,,2513702000000
20190101,3121101000000,3836461000000,58479000000,209256000000,12130000000,576713000000,-6111441000000,734556000000,207398000000,53405000000,16149000000.0,3014000000.0,79602000000,20074000000.0,348053000000.0,,,6861000000.0,-6845997000000,-169916000000,-114705000000,-47170000000,-23186000000.0,-6238203000000,-252288000000,-529000000.0,2300645000000,4085760000000,3987118000000,,98642000000.0,-1785115000000,-1301205000000,,-483910000000,-689695000000,2513702000000,64624000000,,1888631000000
20200101,5840832000000,6526644000000,28918000000,215865000000,14263000000,513128000000,-5296375000000,1405424000000,79603000000,75745000000,382941000000.0,91263000000.0,37482000000,17182000000.0,273577000000.0,,93165000000.0,354466000000.0,-6701799000000,-658735000000,-136854000000,-44006000000,-18519000000.0,-5535791000000,-123592000000,-184302000000.0,938069000000,4310424000000,4073803000000,,236621000000.0,-3372355000000,-3194707000000,,-177648000000,1482526000000,1888631000000,-84407000000,-12500000000.0,3274250000000
20210101,5509816000000,6957179000000,44792000000,223452000000,13093000000,1281796000000,-5349305000000,2260505000000,642252000000,113827000000,35302000000.0,22202000000.0,85616000000,163000000.0,351127000000.0,1000000.0,103357000000.0,906658000000.0,-7609810000000,-151907000000,-529359000000,-257676000000,-248012000000.0,-5773593000000,-128939000000,-520324000000.0,123670000000,6296811000000,5661093000000,8835000000.0,626883000000.0,-6173141000000,-5105821000000,-197603000000.0,-869717000000,284181000000,3274250000000,202403000000,0.0,3760834000000
