,영업활동현금흐름,영업으로부터 창출된 현금흐름,이자의 수취,이자의 지급,법인세의 환급(납부),배당금의 수취,투자활동현금흐름,투자활동으로 인한 현금유입,유형자산의 처분,무형자산의 처분,당기손익-공정가치 금융자산의 처분,기타포괄손익-공정가치 금융자산의 처분,기타채권의 감소,기타금융자산의 감소,기타투자활동 현금유입,투자활동으로 인한 현금유출,유형자산의 취득,무형자산의 취득,관계기업투자주식의 취득,당기손익-공정가치 금융자산의 취득,기타포괄손익-공정가치 금융자산의 취득,기타채권의 증가,기타유동자산의 증가,기타금융자산의 증가,파생상품자산·부채의 정산,기타투자활동 현금유출,재무활동현금흐름,재무활동으로 인한 현금유입,차입금의 증가,재무활동으로 인한 현금유출,차입금의 상환,기타채무의 감소,배당금의 지급,현금및현금성자산의 증가(감소),기초의 현금및현금성자산,현금및현금성자산에 대한 환율변동효과,기말의 현금및현금성자산
20100101,826575000000,824579000000,35706000000,32540000000,8004000000,6834000000,-589607000000,490058000000.0,5072000000,1093000000,,,102138000000,366083000000.0,15672000000,-1079665000000.0,1041285000000,3467000000,,,,20640000000,,0.0,0.0,11533000000.0,-205606000000,319380000000,319380000000,-524986000000.0,402667000000,,122319000000,31362000000,822533000000,-31000000,853864000000
20110101,440043000000,653048000000,39577000000,57192000000,201874000000,6484000000,-980127000000,55297000000.0,468000000,1539000000,,,44896000000,0.0,5273000000,-1035424000000.0,511079000000,4890000000,,,,30662000000,,217393000000.0,3121000000.0,4085000000.0,563158000000,1006955000000,1006955000000,-443797000000.0,1304000000,,442493000000,23074000000,853864000000,16000000,876954000000
20120101,735089000000,1148748000000,40185000000,87314000000,372120000000,5590000000,-597275000000,56266000000.0,4090000000,1149000000,,,30410000000,,3872000000,-653541000000.0,187346000000,2768000000,,,,15931000000,,442880000000.0,16745000000.0,4616000000.0,-580265000000,504186000000,504186000000,-1084451000000.0,659437000000,,425014000000,-442451000000,876954000000,-89000000,434414000000
20130101,793075000000,1024016000000,41900000000,56568000000,224366000000,8093000000,-95500000000,401304000000.0,1444000000,326000000,,,28845000000,366244000000.0,4445000000,-496804000000.0,446242000000,6815000000,,,,27191000000,,,,5406000000.0,-547369000000,76636000000,76636000000,-624005000000.0,315435000000,,308570000000,150206000000,434414000000,-17000000,584603000000
20140101,879201000000,942640000000,29286000000,47498000000,52382000000,7155000000,-964197000000,66401000000.0,1230000000,14000000,,,24915000000,32784000000.0,3949000000,-1030598000000.0,912255000000,1344000000,264000000.0,,,24598000000,,87859000000.0,3509000000.0,4278000000.0,211868000000,798289000000,798289000000,-586421000000.0,466250000000,,120171000000,126872000000,584603000000,50000000,711525000000
20150101,2475550000000,2586187000000,30579000000,57116000000,89700000000,5600000000,-2801853000000,,3400000000,3058000000,,,23865000000,731000000.0,7035000000,,654448000000,6109000000,399000000.0,,,21277000000,,2052971000000.0,49229000000.0,153967000000.0,-184101000000,698919000000,698919000000,,754865000000,,128155000000,-510404000000,711525000000,82000000,201203000000
20160101,1721991000000,1711592000000,44023000000,82982000000,-39635000000,9723000000,-1966919000000,,7121000000,2203000000,,,16632000000,,5384000000,,1063572000000,8884000000,138000000.0,,,8468000000,,935554000000.0,23132000000.0,4775000000.0,811125000000,1032310000000,1032310000000,,11544000000,,209641000000,566197000000,201203000000,38000000,767438000000
20170101,1143294000000,1629614000000,62778000000,112975000000,443445000000,7322000000,-832240000000,,2582000000,460000000,,,21235000000,1722739000000.0,9363000000,,2414079000000,1768000000,103000000.0,,,16306000000,,,-32592000000.0,3312000000.0,-598264000000,923125000000,923125000000,,717994000000,,803395000000,-287210000000,767438000000,-176000000,480052000000
20180101,-288185000000,174707000000,30644000000,153465000000,346008000000,5937000000,-415203000000,1696120000000.0,462000000,330000000,,,19856000000,1673099000000.0,2373000000,-2111323000000.0,2041370000000,339000000,,,,27545000000,,5472000000.0,-36597000000.0,,887788000000,1520510000000,1520510000000,-632722000000.0,14183000000,1430000000.0,617109000000,184400000000,480052000000,54000000,664506000000
20190101,679447000000,810225000000,13169000000,180115000000,-31471000000,4697000000,-1069455000000,32466000000.0,6219000000,383000000,,,19302000000,4500000000.0,1664000000,-1101921000000.0,827344000000,263000000,,7634000000.0,7634000000.0,9156000000,,222084000000.0,-32509000000.0,2931000000.0,16457000000,669099000000,669099000000,-652642000000.0,576095000000,47310000000.0,29237000000,-373551000000,664506000000,50000000,291005000000
20200101,1630972000000,1745149000000,13248000000,169630000000,-39117000000,3088000000,-635596000000,55078000000.0,23819000000,2781000000,,,15646000000,11867000000.0,965000000,-690674000000.0,547100000000,362000000,,5863000000.0,,5098000000,,82669000000.0,-49212000000.0,370000000.0,-548688000000,1097361000000,1097361000000,-1646049000000.0,1571332000000,62975000000.0,11742000000,446688000000,291005000000,-254000000,737439000000
20210101,1477165000000,1660093000000,8898000000,111174000000,85604000000,4952000000,196582000000,535819000000.0,175277000000,1004000000,,,21001000000,334992000000.0,3545000000,-339237000000.0,271967000000,13301000000,8200000000.0,2981000000.0,,4366000000,-11753000000.0,,-10326000000.0,16343000000.0,-466134000000,458602000000,458602000000,-924736000000.0,740000000000,68217000000.0,116519000000,1207613000000,737439000000,474000000,1945526000000
20220101,1278921000000,1605948000000,29747000000,143102000000,217430000000,3758000000,-773199000000,49854000000.0,29922000000,14000000,100000000.0,56000000.0,18372000000,,1390000000,-823053000000.0,598755000000,861000000,,700000000.0,1239000000.0,12817000000,-1055000000.0,140000000000.0,-66475000000.0,1151000000.0,-1141575000000,279139000000,279139000000,-1420714000000.0,731702000000,71880000000.0,617132000000,-635853000000,1945526000000,653000000,1310326000000
