,영업활동 현금흐름,영업으로부터 창출된 현금흐름,이자의 수취,이자의 지급,배당금의 수취,법인세의 납부,투자활동 현금흐름,단기금융상품의 감소,단기금융상품의 증가,단기투자자산의 순증감,기타금융자산의 감소,기타금융자산의 처분(취득),기타수취채권의 감소,기타수취채권의 증가,장기투자자산의 처분,장기투자자산의 취득,유형자산의 처분,유형자산의 취득,무형자산의 처분,무형자산의 취득,투자부동산의 처분,관계기업투자의 처분,관계기업투자의 취득,사업결합으로 인한 순현금유출,기타,재무활동 현금흐름,차입금의 차입,차입금의 상환,리스부채의 상환,배당금의 지급,자기주식의 처분,주식선택권의 행사,비지배지분의 증가,현금및현금성자산의 환율변동효과,현금및현금성자산의 순증감,기초 현금및현금성자산,기말 현금및현금성자산
20010101,,,,,,,,1290909040000.0,1294068267000.0,,,,,,,,,,,,,,,,,215467936000,,,,,31982630000.0,,,,,,
20020101,,,,,,,,195955416000.0,195073138000.0,,,,,,44824119000.0,1478634000.0,,,,,,,,,,-242294955000,,,,,,,,,,,
20030101,,,,,,,,27849000000.0,20296000000.0,,,,,,30514000000.0,20080000000.0,,,,,,,,,,-439637000000,,,,900000000.0,,,,,,,
20040101,,,,,,,,9066622000.0,576434247000.0,,,,,,1021104000.0,5675481000.0,,,,,,,,,,-1154571305000,,,,1918990000.0,16201022000.0,,,,,,
20050101,,,,,,,,267642782000.0,4100000000.0,,,,,,138520208000.0,14573260000.0,,,,,53053307000.0,,,,,-40115205000,,,,29960000.0,,,,,,,
20060101,,,,,,,,4479218000.0,7407450000.0,,,,,,14508936000.0,1008885000.0,,,,,,,,,,2184545663000,,,,,634682000.0,,,,,,
20070101,,,,,,,,,24674170000.0,,,,,,5583315000.0,938172000.0,,,,,,,,,,1594119797000,,,,,,,,,,,
20080101,,,,,,,,179965784000.0,,,,,,,7774123000.0,23804754000.0,,,,,14650460000.0,,,,,1170978300000,,,,,,,,,,,
20090101,,,,,,,,,125394000000.0,,,,,,1070000000.0,8083000000.0,,,,,31915000000.0,,,,,354501000000,,,,,,,,,,,
20100101,5883541000000.0,6153749000000.0,67732000000.0,334144000000.0,,3796000000.0,-4683472000000.0,1475068000000.0,2115564000000.0,,,51458000000.0,,40148000000.0,441000000.0,9557000000.0,127688000000.0,3391910000000.0,,151856000000.0,,,-496604000000.0,,,-1140424000000,1187488000000.0,2327912000000.0,,,,,,-18775000000.0,40870000000.0,1212356000000.0,1253226000000.0
20110101,2855960000000.0,3079865000000.0,68107000000.0,275866000000.0,8883000000.0,25029000000.0,-3389264000000.0,2653392000000.0,2334896000000.0,,,5983000000.0,10249000000.0,7379000000.0,,7897000000.0,14371000000.0,3568238000000.0,13946000000.0,176111000000.0,12153000000.0,,-12180000000.0,,,519133000000,2434510000000.0,1826595000000.0,,-88541000000.0,,,,4733000000.0,-9438000000.0,1253226000000.0,1243788000000.0
20120101,2211651000000.0,2420894000000.0,81931000000.0,275169000000.0,12098000000.0,28103000000.0,-4698379000000.0,2754789000000.0,3252006000000.0,,,,11640000000.0,8661000000.0,11190000000.0,3618000000.0,35809000000.0,3772879000000.0,1226000000.0,159072000000.0,,,,,,1917122000000,6966003000000.0,7377491000000.0,,,,,,-15795000000.0,-585401000000.0,1243788000000.0,658387000000.0
20130101,6372056000000.0,6521553000000.0,58888000000.0,199553000000.0,17414000000.0,26246000000.0,-4892125000000.0,-1028615000000.0,1028615000000.0,,29681000000.0,276591000000.0,2728000000.0,5969000000.0,331000000.0,115564000000.0,15509000000.0,3205797000000.0,200000000.0,301496000000.0,,,,,,-1499989000000,3528687000000.0,5028676000000.0,,,,,,-6462000000.0,-26520000000.0,658387000000.0,631867000000.0
20140101,5866691000000.0,6305229000000.0,35658000000.0,151551000000.0,17134000000.0,339779000000.0,-6087827000000.0,,1407752000000.0,,275422000000.0,29611000000.0,3501000000.0,15735000000.0,28602000000.0,1415000000.0,198959000000.0,4800722000000.0,286000000.0,336291000000.0,,,,,,28343000000,3848816000000.0,3820449000000.0,,,,,,-2313000000.0,-195106000000.0,631867000000.0,436761000000.0
20150101,9319520000000.0,10357267000000.0,51610000000.0,124304000000.0,17045000000.0,982098000000.0,-7125530000000.0,,-39533000000.0,,,,10692000000.0,14134000000.0,1319000000.0,5359000000.0,220097000000.0,6774625000000.0,7963000000.0,623743000000.0,,,9893000000.0,,,-1462257000000,3933056000000.0,4405023000000.0,,218401000000.0,,,,7225000000.0,738958000000.0,436761000000.0,1175719000000.0
20160101,5548922000000.0,6486781000000.0,42895000000.0,125818000000.0,20744000000.0,875680000000.0,-6230451000000.0,,-485989000000.0,-376186000000.0,5000000.0,2000000.0,15422000000.0,13613000000.0,2651000000.0,19085000000.0,162120000000.0,5956354000000.0,1585000000.0,530375000000.0,,,2293000000.0,,,116876000000,2080343000000.0,1610466000000.0,,353001000000.0,,,,2720000000.0,-561933000000.0,1175719000000.0,613786000000.0
20170101,14690614000000.0,15373261000000.0,41680000000.0,120332000000.0,14841000000.0,618836000000.0,-11919162000000.0,,2776527000000.0,657523000000.0,308000000.0,167000000.0,18437000000.0,22009000000.0,3431000000.0,26204000000.0,244897000000.0,9128303000000.0,3249000000.0,784911000000.0,,,114487000000.0,,,-351906000000,782330000000.0,710635000000.0,,423601000000.0,,,,-83341000000.0,2336205000000.0,613786000000.0,2949991000000.0
20180101,22227199000000.0,25825017000000.0,81323000000.0,126029000000.0,15258000000.0,3568370000000.0,-21428749000000.0,6761161000000.0,2586494000000.0,-4519395000000.0,116000000.0,100000000.0,21824000000.0,48424000000.0,7118000000.0,4012799000000.0,131754000000.0,16036146000000.0,2532000000.0,933139000000.0,,,200508000000.0,,,-1395317000000,3125721000000.0,2078522000000.0,,706002000000.0,,,,-3805000000.0,-600672000000.0,2949991000000.0,2349319000000.0
20190101,6549736000000.0,11895834000000.0,30543000000.0,238314000000.0,14891000000.0,5153218000000.0,-10450936000000.0,1070784000000.0,845337000000.0,4164793000000.0,,627000000.0,13057000000.0,57482000000.0,4316000000.0,81447000000.0,53840000000.0,13920244000000.0,183000000.0,673356000000.0,,,176954000000.0,2462000000.0,,3836668000000,9833882000000.0,4585425000000.0,390501000000.0,1026003000000.0,,,4715000000.0,21283000000.0,-43249000000.0,2349319000000.0,2306070000000.0
20200101,12314571000000.0,12916771000000.0,40635000000.0,288565000000.0,16365000000.0,370635000000.0,-11840393000000.0,913591000000.0,1054401000000.0,-115122000000.0,773000000.0,205000000.0,36722000000.0,238727000000.0,708000000.0,93846000000.0,59089000000.0,10068662000000.0,695000000.0,800729000000.0,,,483237000000.0,,2958000000.0,252054000000,5173016000000.0,3921310000000.0,319740000000.0,684002000000.0,,,4090000000.0,-56313000000.0,669919000000.0,2306070000000.0,2975989000000.0
20210101,19797648000000.0,20951478000000.0,17341000000.0,240942000000.0,84679000000.0,1014908000000.0,-22392277000000.0,2572550000000.0,2600586000000.0,-1548448000000.0,213000000.0,29830000000.0,47027000000.0,79537000000.0,45972000000.0,130318000000.0,79940000000.0,12486635000000.0,2073000000.0,973893000000.0,,,44862000000.0,7250087000000.0,4144000000.0,4492313000000,8933737000000.0,3320911000000.0,323975000000.0,805024000000.0,8484000000.0,2000000.0,,184309000000.0,2081993000000.0,2975989000000.0,5057982000000.0
20220101,14780517000000.0,19083888000000.0,77430000000.0,494513000000.0,93067000000.0,3979355000000.0,-17883746000000.0,2022053000000.0,1966360000000.0,2195111000000.0,29950000000.0,600000000.0,39051000000.0,72248000000.0,4306000000.0,115537000000.0,323718000000.0,19010261000000.0,1018000000.0,738621000000.0,263211000000.0,209843000000.0,40717000000.0,1027663000000.0,,2821796000000,11917454000000.0,7124565000000.0,301858000000.0,1680905000000.0,11653000000.0,17000000.0,,200458000000.0,-80975000000.0,5057982000000.0,4977007000000.0
