,영업활동으로 인한 현금흐름,당기순이익(손실),현금의유출/유입이 없는 비용/수익등의 가감,재고자산평가손실(환입),임차기정비충당부채전입,퇴직급여,감가상각비,무형자산상각비,대손상각비(환입),이자비용,파생상품평가손실,파생상품거래손실,지분법손실,외화환산손실,외환차손,기타의 대손상각비,유형자산처분손실,유형자산및사용권자산손상차손,무형자산처분손실,무형자산손상차손,매각예정자산처분손실,당기손익-공정가치측정금융자산평가손실(환입),법인세비용,기타비용,이자수익,배당금수익,파생상품평가이익,파생상품거래이익,지분법이익,외화환산이익,당기손익-공정가치측정금융자산평가이익,당기손익-공정가치측정금융자산처분이익,기타의 대손충당금환입,유형자산처분이익,유형자산재평가손실환입,무형자산손상차손환입,무형자산처분이익,매각예정자산처분이익,외환차익,중단영업처분이익,기타수익,순운전자본의 변동,매출채권의 감소(증가),미수금의 감소(증가),미수수익의 감소(증가),미청구공사의 감소(증가),재고자산의 감소(증가),선급금의 감소(증가),선급비용의 감소(증가),매입채무의 증가(감소),미지급금의 증가(감소),장기미지급금의 증가(감소),미지급비용의 증가(감소),선수금의 증가(감소),초과청구공사의 증가(감소),사외적립자산의 감소(증가),장기선급비용의 증가(감소),퇴직금의 지급,확정급여부채의 승계,충당부채의 증가(감소),이연수익의 증가(감소),기타,이자의 수취,배당금의 수취,법인세의 납부,투자활동으로 인한 현금흐름,단기금융상품의 순증감,리스채권의 회수,장기금융상품의 증가,장기금융상품의 감소,당기손익-공정가치측정 금융자산의 취득,당기손익-공정가치측정 금융자산의 처분,기타포괄손익-공정가치측정금융자산의 처분,유동성 기타포괄손익-공정가치측정금융자산의 처분,상각후원가측정금융자산의 취득,상각후원가측정금융자산의 처분,관계기업투자의취득,종속기업투자의 처분,사업결합으로 인한 순현금흐름,단기대여금의 증가,단기대여금의 감소,장기대여금의 증가,장기대여금의 감소,유형자산 및 투자부동산의 취득,유형자산 및 투자부동산의 처분,매각예정자산의 처분,기타비유동자산의 감소,무형자산의 취득,무형자산의 처분,기타유동자산의 증가,파생상품의 증가,파생상품의 감소,보증금의 감소,보증금의 증가,투자활동 기타자산의 증가,투자활동 선수금의 증가,영업양수도로 인한 현금유입,기타투자활동으로인한 현금유출액,재무활동으로 인한 현금흐름,단기차입금의 순증감,유동성장기부채의 상환,유동성리스부채의 상환,장기차입금의 차입,사채의 발행,자산유동화차입금의 차입,임대보증금의 증가,유상증자,배당금지급,신종자본증권의 전환,신종자본증권의 발행,신종자본증권의 상환,신종자본증권의 배당금 지급,이자의 지급,기타재무활동으로 인한 현금유입(유출)액,현금및현금성자산의 순증감,기초 현금및현금성자산,외화표시 현금및현금성자산의 환율변동효과,매각예정자산으로부터의 대체,기말현금및현금성자산
20100101,3221516512689,623925707562,,1724438612.0,,134766966709,1095775915913,29064782732,70363399.0,637258228241,25390392592,,14216629336.0,91075860647,,41794081,110568149716,,,,,,181606918853.0,,33285007309,1764123642,18369144096.0,,216614606024.0,231466990030,,,1149679538.0,18313118819,,,,,,,59329590,893040877940,-3470219783,,,,-26237754791,9337179184,-5104955050,80224178901,152054921676,,316174153019,237774467964,,29186216194,,-129326373299,,,154144422,,32627408866,34618836900,31089223381,-1304305930486,,,,,,,,,,,4172677695.0,,,,,,,-1301574063179,54702693409,,,5837011637,,,219419719751.0,152083295955.0,,1743982870,,,,1805863747.0,-1880595371714,1003217769838,-2267896530380,833646891606,661460973545,664557700000,543800000000.0,,,4449999570,,,,,633159008039,-1556259202.0,36615210489,815087150545,-131608383,,851570752651
20110101,2008976781190,-207658772157,,3446680826.0,,135044082399,1311790303650,21706369486,2652003391.0,570593614177,43138745261,,89526406567.0,339097996616,,1874976922,65353295174,,,141753454.0,,,,,33383983801,1741071854,42393615987.0,,311422570650.0,67594895773,,,4710249304.0,6614063983,,,,,,,42405290,-75962062642,-49035652213,,,,-82724270325,12592884624,1470672510,54191553195,-119341676926,,-79749569122,156504566488,,27653345330,,-120560526217,,,121991612313,42405290.0,33277981095,125452902894,19422088809,-572096038320,184923423979.0,,4930902654.0,8755000.0,,,,,,,25702506188.0,,,,19924972.0,,,-664182340123,48403915896,,,1733318620,,,,,,10479923117,,,,510562464.0,-830476575341,1196090329800,-2777637949653,765417093891,834971558711,1412092957395,1108222000000.0,,,47037623712,,,,,566728729650,-10278204954.0,606404167529,851570752651,8161484573,,1465748029886
20120101,2305492436329,256371132460,,,37112510419.0,150711950092,1493146129460,22966125984,505476051.0,575229592712,22432673484,,,198220131260,,6555807801,142658600226,43692027910.0,584911098.0,50000000.0,,,180326772595.0,,42671983383,2303335831,59039379782.0,,81732733282.0,824179662753,,,870112938.0,29784301844,,,,,,,50755000,35915440597,89284387018,0.0,0.0,,-57343542202,-90797957272,-13167948647,-39056229111,26498050668,,62388802772,68672109479,,-10873695008,,-83276248297,,,114056665946,-9847793453.0,46522539935,134629363227,-4778424754,-657351692950,168025780244.0,0.0,7674974396.0,1946883896.0,,,,,,,8630000000.0,37065031201.0,,6897760000.0,21617121.0,,,-905988912648,234995566322,,,1395626719,140889630.0,,,,232459588778.0,267860464845,,,,,-1590578927009,1453389144055,-2697075120487,996222104718,585118635519,1971277659272,0.0,,0.0,10869159469,,0.0,,0.0,561382209946,-35636630627.0,57561816370,1465748029886,-57810815958,,1465499030298
20130101,1949344873530,-383555365584,,,25203419260.0,159982004838,1629729298695,33065414304,,507411741733,25688961139,,,57391754187,,453157963,89706203340,35101324328.0,,,,,,,32159631702,3273674180,56511169573.0,,32982325297.0,425088214946,,,,33982787663,,,,,,,3670934421,5256997550,73891998500,3606704519.0,5796390130.0,-22923042920.0,26004507192,-23923295056,2917468471,-42649759913,-54553732151,,-136708000517,27777069381,60948707914.0,10986882464,,-80734853228,,,82091893526,-16437479245.0,33109043093,95039217330,15208918084,-1354764903725,58345432129.0,,1320295978.0,3000000.0,,,,,,,3904586400.0,,,250039190650.0,66824189.0,,,-1242378498498,146742704446,,,1230967340,1856400000.0,,,,143219650932.0,78763734447,,,,,-927483189164,1423121161400,-2108467168833,957278860523,1516394735482,531708644949,910148000000.0,,663877000.0,4370542824,,208860000000.0,,-6720000000.0,489783195215,726455729.0,-332903219359,1465499030298,-5770430350,,1126825380589
20140101,1863563778031,-612921454979,,,1247721172.0,156230384622,1558001219311,35024435061,492268978.0,464229026897,208679154404,,,402323307723,,324396388,112840041115,,23090910.0,78000000.0,,,,16021123766.0,40393763289,3966616203,5736332000.0,,31190555155.0,168772427689,,,602833336.0,3570831069,,,,,,,108660653276,-345698987482,29081390691,,,15535249840.0,34183944526,-136207299755,-9566038975,-83031023478,-94916946713,,-77288406411,-50029403855,23659092546.0,6101193081,,-76085010276,,,74995427851,-108660653276.0,40579719186,40202319146,5225005043,-1064948500135,-2799264722.0,12886303349.0,,-56321352267.0,,,,,,,399999999600.0,,,,29989191339.0,,,-1120618790730,381972758898,,,1393790,77072290.0,,,,122127180175.0,117479478670,,,,,-1137933483625,805560462587,-4214645490441,984902805243,2012650984540,449750800001,1271866200000.0,,,621785055,,,,-13440000000.0,465888785785,1736935771.0,-339318205729,1126825380589,9096649385,,796603824245
20150101,2728023077614,-562967287220,3197995845043.0,,27979680020.0,164695641213,1610946008552,39978836711,,372400679164,72103575026,,,607520743781,99081864408.0,42702633050,173008696805,72363540207.0,124363637.0,,5234493054.0,,,120673130647.0,42790874838,4262733870,,,17485046270.0,112940277360,,,2714918.0,5075182744,,,12518091.0,,,,5363191046,52390532977,-34075328497,-3917303718.0,-10135405999.0,-28029347466.0,-58650972240,-35507113148,-4487615823,12259512335,-88584313231,,187094515743,73183897150,-53836777472.0,3586010655,,-90960966491,516880926.0,-1769585356.0,67998484845,78760259394.0,46472559324,6639475483,12508047993,418728666799,-52829814218.0,13749806618.0,,-51083898159.0,,,,,,,,1183945665.0,,,2346850.0,,,-1742724582738,318316348791,10002987631.0,,32300000,312953273.0,,,,37789896353.0,96663898241,,,,,-2996598896163,-794565614705,-2997644143803,1093375854445,570094449993,286469810719,600000000000.0,,494202236919.0,617147250,,341550945246.0,,-13440000000.0,385736159761,-3537419076.0,150152848250,796603824245,19005999893,,967481407720
20160101,2806255596801,-556844430587,3449163764396.0,,33211953956.0,153301778441,1698252161145,53256614004,1887405580.0,406823205088,59760856456,,112267348951.0,375854242834,53536876991.0,15914971314,214504161948,72885540867.0,1081233770.0,7992411980.0,26836122700.0,,,16194573865.0,28787452220,3865139008,26782942.0,,,158277900847,,,617514735.0,26877573457,,,101350184.0,954835474.0,,,70762659745,-97225495250,-25081847901,1053174372.0,14287289952.0,-38802768593.0,-73390708026,-26989707120,32739725356,-441109855,-58484884209,,3895106897,149739579040,-69606318992.0,-6517543494,,-99092011776,694741985.0,-44469686364.0,169960501301,15067403368.0,17932033223,3598398258,10368673239,-873500480753,9047768523.0,17623821319.0,,-803878785.0,,,,,,,,,,,-26132679.0,,-9661400.0,-1145144671487,271928773541,49473982300.0,,1094768090,2256251259.0,,,,203918363178.0,168799700938,,,,,-1829310977942,266428624101,-3238848401904,1299626659384,606128700000,538298260982,1385008727006.0,,3513800970.0,990542062,,,,-22344375000.0,400349616702,-20805458.0,103444138106,967481407720,19001820946,,1089927366772
20170101,2806750798374,830060640356,2030717064734.0,,45773241438.0,156859898329,1651302262956,45184949604,678365565.0,457333677809,57498415325,,,185794073628,5391479326.0,113098746,263477117308,69502481888.0,,103111173.0,270000000.0,,329426275536.0,16033101161.0,30831479878,4587094748,125653792.0,,11318844695.0,991880206022,,,330631756.0,36290959710,-3077116763.0,,1397152664.0,56050000.0,209333617788.0,,6232630151,-82403525065,-10771492261,6124017510.0,-7077411552.0,-14834662872.0,-157262581259,19517244840,-16456330415,40230230114,-49756458553,,200120404551,-40330621819,14997761210.0,6236496486,,-135653172032,107270677.0,-87863569654.0,193173433891,15597390133.0,29226941327,4528550478,5378873456,-2041246916247,-402341388697.0,33960331458.0,,99262431454.0,,,,,,,,,,,9196275.0,,-697360.0,-1876528620271,81753990866,34106050000.0,,759091000,1460989867.0,,,,221373524961.0,271284348422,,,,,-1036188975696,-310828163852,-2295623517151,1712002408113,1540027481505,683327651381,504664778026.0,,453268670068.0,628527290,,333427171249.0,,-32993250000.0,457859937782,-13185600.0,-270685093569,1089927366772,-58007439862,,761234833341
20180101,2774050002420,-161087303511,2805295782087.0,72708436961.0,53310350643.0,160688829554,1721256626736,29382513659,,546352716525,23614252181,10512557034.0,,356308034364,78738310570.0,346541213,10439293904,20278439029.0,,,,,,16809356603.0,41386462142,3888184210,32378430735.0,48153523574.0,519717899.0,93128962806,,,768867969.0,10729464553,,,183563636.0,41693988056.0,,,77927082,120242554566,-120545755994,,,8439864218.0,-247142973840,233484661098,23588749821,4216188809,1928306866,,41666251186,165212685057,54155400270.0,9130725523,,-125132208234,1280517725.0,-14657537396.0,98045679132,58570389649.0,43194841822,3888184210,37484056754,-639355043874,346076222859.0,34113196205.0,,1942959147.0,1400000000.0,,-425000.0,213312140.0,7230000.0,7230000.0,,300.0,,,,,9433510.0,-1276204129401,78008706367,203066402663.0,919711.0,268481818,929872186.0,,50779360494.0,69361816267.0,72599917723.0,117726246239,,,,,-1407516135180,-124724946898,-2084363698097,1264366072067,1019177048200,1161184982084,749700000000.0,,,24672924690,,367685260000.0,-549750000000.0,-43433906250.0,543951877462,,727178823366,761234833341,15537711680,,1503951368387
20190101,2287888607365,-622761502186,3212835925897.0,14857838732.0,13307177956.0,193955203960,2054045119260,28586113293,1143925660.0,617559363290,23325798597,33734441190.0,,369858493117,120383444721.0,22172137,154946724630,1665831.0,30631898.0,,,2702275345.0,,16765263341.0,55760110733,4685889161,53426141667.0,96742425247.0,214592521.0,102886067883,69377064.0,,45464998.0,3092577216,,,,3735140661.0,,,1006540,-349932633299,-16849247342,17690116819.0,-34462033725.0,-23821412553.0,-236655655742,-109208316106,10263005663,-19011033586,-45411584137,,86454970772,-82877109194,131549975465.0,14154912177,59535480.0,-196564732871,1340988245.0,-5038493682.0,103292760975,55160720043.0,51457387580,4685889161,8396459788,-1549246685074,-517441834614.0,75914154565.0,,-4305814274.0,1400000000.0,3572.0,251545894.0,,,3700000.0,,500.0,,,3057531944.0,,1986560.0,-1182849450901,5277684002,16489559500.0,,1662648679,250000000.0,,153335652094.0,199128236667.0,100897914218.0,89532641934,,59535480.0,,,-1447170262063,13562241297,-2381474283460,1566326154589,903871046910,1371792220654,500000000000.0,,,25249810050,,378190960000.0,,-51654562500.0,625451633538,-2060034547.0,-708528339772,1503951368387,20830003159,,816253031774
20200101,1376703698885,-230018634965,2499626128024.0,-1998013089.0,18786413531.0,199158528308,1938061951566,31057449914,2214668807.0,513862527234,128870885620,109296476260.0,856912202.0,135619628319,81111326284.0,564718446,64960409035,638883355646.0,74500000.0,2918500000.0,14692000.0,,110877982374.0,85096154111.0,42437003349,4469436247,,37261370902.0,,610181643821,241731759.0,,183070712.0,9412237024,,,274814548.0,29616774927.0,19206648.0,-823685245481.0,2880403126,-940178216627,39885705270,12796611163.0,66651626902.0,-17324239411.0,78738265413,-11402891331,10214131307,-110924908953,-50782568186,,2783206449,-1012121931496,49033780980.0,25265370150,59535480.0,-111239172304,692802539.0,-6401281268.0,161660317291,-67762576622.0,47796809478,4469436247,4991823272,-2716132004,232674201452.0,87486726864.0,12274881774.0,3555390371.0,302000000000.0,,66328915.0,3097477902.0,19985000.0,,-96340000000.0,400.0,,0.0,500000.0,35000000.0,41569952.0,-611030048216,39732469557,61242028335.0,,6234545338,851314548.0,,913320448885.0,855416077972.0,43064799106.0,30420254117,-300000000000.0,,941695795952.0,-5620000.0,-858149389978,1029865552869,-2716259493445,1543001847269,829726091907,159361960000,1262659520407.0,30570000.0,1119303525000.0,1205391014,,299967197760.0,-697450000000.0,-59789531250.0,540815195703,-542349240.0,515838176903,816253031774,-14672722121,-2852502214.0,1314565984342
20210101,3514195624777,578782033232,2830280478160.0,1628455461.0,38374016928.0,185992337927,1662980024813,32384511124,-116149817.0,390933686412,3344495615,43724192102.0,28885006.0,484418772942,124746247466.0,7931344582,2678179928,275441543968.0,184416356.0,,,14159215.0,264331988614.0,41564632326.0,70129774743,5600172282,129904448564.0,155699533036.0,,180531433507,143049611079.0,13090603.0,,12217234625,,2333333.0,,23666965407.0,2367040000.0,,7123625629,47752169804,-282807784235,-36945813318.0,49422291587.0,14614989618.0,-37658693018,-10837178167,1758554681,52235776109,14647565479,90991229.0,25737136807,237783011231,-23637262198.0,16899525679,59535480.0,-96859573966,,-65453728426.0,121373081474,67329743758.0,66441397081,5600180032,14660633532,-2444827236801,-2411840201171.0,79755176119.0,12962813155.0,1736221667.0,1500000000.0,2038598675.0,5518820749.0,,-9720000.0,3610235000.0,,100.0,,5000000.0,4500000.0,,3735252.0,-342964980040,38906812181,32249060565.0,,5246922305,50000000.0,,847955298777.0,888235373070.0,88181073112.0,43665536619,-400000000000.0,474212556250.0,6821072526.0,,-1211218258654,-215604857680,-2623448643110,1419966491429,297419351000,1016423450000,,,2553585836200.0,27275000,,,-380000000000.0,-18150000000.0,410992372664,-10457255971.0,-141849870678,1314565984342,13061612943,-402604451.0,1185375122156
20220101,5572422138746,1729502852463,3074401160931.0,4438928643.0,20589339909.0,201089794016,1605773539822,43962543948,263339742.0,400949992437,17709460286,14447819883.0,,354271401890,229566296096.0,1447887955,24218778102,16565352934.0,20221600.0,,,121631870698.0,832632145571.0,47580404026.0,156121774394,6227281411,92734441735.0,128040268750.0,172133391.0,274024164583,529023107.0,20635461.0,,28387336941,16815748472.0,1666667.0,53745454.0,154298794284.0,,,5330941977,1018775686773,-18322602969,705543898.0,63825823314.0,45518960339.0,-124332573235,-32366522453,1188615813,119354224572,47187868255,-98487524.0,49702340721,840867828093,28028700168.0,13141066509,-6505363382.0,-145261106233,4217201591.0,-3703777034.0,-29359467575,164987413905.0,124191992524,6227289161,380676843106,-2975899345339,-1979648607928.0,48994994282.0,1217413575.0,1261807583.0,400000000.0,3396476246.0,5844870660.0,,-29160000.0,11325000.0,-23830952250.0,200.0,-509435059568.0,5000000.0,,,52952216.0,-761762791322,36537623785,80041418750.0,3061250168.0,2294935247,739567017.0,698241302.0,733348295403.0,862743003813.0,29718567937.0,35840013805,,,207267404.0,,-2698028313107,-220638767675,-3291318520041,1461745217056,1183398575175,1512853786811,,,,32275000,-552824060.0,57522040000.0,-75000000000.0,-4527717390.0,397791882361,-195511510.0,-101505519700,1185375122156,-30224162174,3255106665.0,1056900546947
